Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-956.4026	-981.1088	24.70612	0.4047345	0.04656816	0.01849327	0.01742535	0.07760036	0.03341803	0.04659338	0.02293614	0.2902716	0.0316606	0.01490034	0.00781944	0.2745499	0.03119836	0.02236179	0.01217668	0.005833995	0.02807101	0.006448734	0.000190438	0.1114764	0.01651725	0.007438524	0.1722735	0.06662898	0.01568629	0.01000537	0.1530528	0.05181809	0.05206338	0.07972111	0.07047055	0.09648718	0.08337887	0.05268746	0.01388329	0.1421183	0.02257074	0.216289	0.0252058	0.0968397	0.111274	0.495296	0.055095	0.8092071	0.216166	0.504301	0.204377	0.0751566	0.0174033	0.185284	0.736353	3.06096	2.206796
10	-651.2736	-681.1674	29.89372	2.060533	0.1091344	0.04292087	0.05846266	0.1121605	0.06421993	0.01834152	0.02576747	0.1038041	0.01873611	0.02115649	0.007124319	0.1432163	0.0550903	0.03899539	0.008918552	0.02332992	0.02900981	0.01111149	0.000155949	0.09712394	0.01798848	0.01190417	0.05968408	0.07493179	0.007476359	0.006637163	0.0959003	0.02987471	0.07763805	0.06123376	0.02435379	0.04796023	0.1986064	0.03220714	0.021712	0.08970539	0.03597663	0.22563	0.0758302	0.232254	0.0981785	0.19495	0.173157	0.2642213	0.264531	0.271711	0.213702	0.250055	0.300395	0.6613	1.07143	1.96687	1.88257
20	-609.3277	-642.3102	32.98254	1.448624	0.0625197	0.08289638	0.03316918	0.1608376	0.1129125	0.05577445	0.02609046	0.06761509	0.02816877	0.02850161	0.01568513	0.02089177	0.06204317	0.02164701	0.01001945	0.04129031	0.04193705	0.02101574	0.0001411009	0.1050571	0.017433	0.02098151	0.05635203	0.06544672	0.06065204	0.007207684	0.09017409	0.005585973	0.06735065	0.01027453	0.01881256	0.04553846	0.1011642	0.02985676	0.04469308	0.02131083	0.02847159	0.182725	0.123442	0.12398	0.0563123	0.214076	0.299464	0.1399569	0.270496	0.277838	0.268931	0.182735	0.217276	0.579775	1.04726	2.15569	1.689519
30	-585.376	-618.4588	33.08281	2.818945	0.1180248	0.1036943	0.04448888	0.07856806	0.02860552	0.02983553	0.01226518	0.04053016	0.0245204	0.02397734	0.04136225	0.0290629	0.1185123	0.036649	0.006903972	0.06252064	0.03307992	0.03047714	0.0003552625	0.08188142	0.01676042	0.03053317	0.01771443	0.1274442	0.1249173	0.02584436	0.03417836	0.00990397	0.01872545	0.01308627	0.04626597	0.02245398	0.1738199	0.03161201	0.01686429	0.01410766	0.01370587	0.227526	0.188275	0.210036	0.0897219	0.154581	0.129861	0.1920561	0.268032	0.239889	0.289698	0.20238	0.374751	0.720984	1.08146	1.8228	1.683253
40	-538.5701	-579.7292	41.15906	7.086552	0.08893302	0.04165395	0.01531615	0.1285684	0.03152002	0.02062695	0.008587558	0.01337335	0.0237672	0.005441483	0.02946721	0.00703844	0.1450565	0.0184558	0.01954309	0.05530895	0.01311583	0.01459253	0.0001466058	0.04432406	0.01198999	0.08410796	0.01180133	0.04878564	0.1022929	0.02685002	0.008714955	0.008918995	0.01567354	0.003018774	0.01473	0.01302677	0.05725808	0.01926792	0.007071596	0.01378698	0.006354014	0.182977	0.113071	0.235759	0.0941618	0.195683	0.178349	0.1023069	0.310188	0.218601	0.28679	0.184421	0.570883	0.841362	1.07875	1.509	1.178487
50	-523.515	-565.6329	42.11783	7.66168	0.03043475	0.04836769	0.03451362	0.09891075	0.05469339	0.03026255	0.01259532	0.03529714	0.01075499	0.004627327	0.03945573	0.01299597	0.07233977	0.04860363	0.01626345	0.04383382	0.01553838	0.01392647	0.000440134	0.02744573	0.02460693	0.05236905	0.01819801	0.04752024	0.05423036	0.07566768	0.01120301	0.02004201	0.01095846	0.007472585	0.02176586	0.009188333	0.0556462	0.01480882	0.02289003	0.01874876	0.001946882	0.183557	0.15076	0.186393	0.162172	0.110098	0.207021	0.1120154	0.227679	0.285372	0.290493	0.196456	0.585258	0.848637	1.07742	1.48869	1.118564
60	-533.6363	-572.059	38.42267	7.106496	0.06847935	0.03803563	0.02580523	0.1471638	0.0298632	0.05261267	0.02027366	0.01716194	0.007498427	0.003680376	0.1118303	0.0396431	0.1201836	0.0773622	0.009162565	0.04238188	0.008338264	0.009361465	0.0002704387	0.06005099	0.01074112	0.05624277	0.02195199	0.04381659	0.08187366	0.04792911	0.007984376	0.023173	0.0153647	0.01422806	0.02125092	0.0173496	0.03952292	0.03511328	0.003944833	0.0150203	0.004844532	0.284104	0.16773	0.072303	0.150402	0.115645	0.209817	0.03597337	0.26821	0.255615	0.204627	0.271548	0.571408	0.84163	1.07871	1.50826	1.349511
70	-527.4457	-568.7432	41.29748	9.767368	0.07090338	0.04647012	0.0104165	0.09169888	0.04740899	0.03268196	0.01496291	0.02402072	0.007386661	0.01241792	0.1275756	0.02643149	0.09758922	0.01564909	0.005706368	0.0293107	0.007877101	0.03504291	0.0003825248	0.0223365	0.0205304	0.1006816	0.003688282	0.05319568	0.06074074	0.01473404	0.0217498	0.01226707	0.02164073	0.00528865	0.03409036	0.009128732	0.02535643	0.03693606	0.001814952	0.01746059	0.004261977	0.224457	0.103926	0.118583	0.14806	0.189667	0.215306	0.1199374	0.22134	0.286385	0.22926	0.263014	0.627565	0.869072	1.07281	1.43055	1.169836
80	-530.046	-572.1988	42.15282	7.499451	0.02676277	0.05468655	0.02110792	0.0719807	0.05983356	0.01471996	0.01878128	0.03145835	0.01399711	0.009946638	0.08240126	0.03063973	0.1036598	0.01504045	0.008618213	0.02517722	0.007823884	0.05096657	0.0004353429	0.01223208	0.03110505	0.05578536	0.003867172	0.04234192	0.07525871	0.009120115	0.007451282	0.05132051	0.04904531	0.01628954	0.0142858	0.007479034	0.005108839	0.05184674	0.005630039	0.02649815	0.003673575	0.12657	0.10756	0.176291	0.113409	0.171285	0.304884	0.09262819	0.212655	0.293671	0.280453	0.213221	0.581353	0.846678	1.07779	1.49418	1.116376
90	-530.297	-571.1129	40.81582	4.043921	0.02896617	0.03180995	0.03281406	0.07541718	0.04800624	0.01979912	0.00740816	0.0274496	0.02109615	0.005272584	0.05544387	0.03220293	0.07955029	0.03422124	0.01260582	0.02120731	0.004218859	0.03071132	0.001090876	0.0313399	0.02412355	0.09041689	0.002959885	0.131189	0.06535599	0.02209385	0.0199371	0.06080615	0.04688269	0.02420321	0.01767389	0.01194541	0.01178408	0.02126133	0.007133737	0.03574941	0.005791201	0.243108	0.152575	0.152923	0.148044	0.219006	0.0843445	0.01953365	0.233068	0.262177	0.273382	0.231374	0.456759	0.776714	1.08439	1.68214	1.199939
