Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-926.0145	-939.8286	13.81409	0.002744242	0.01245041	0.07357067	0.05948145	0.03913943	0.001801084	0.121939	0.02462084	0.04062062	0.1702081	0.1238064	0.1952914	0.003993631	0.1569613	0.05605383	0.07313837	0.1060846	0.06392128	0.1099786	0.09383541	0.1093193	0.1613599	0.01464222	0.1022438	0.06750408	0.008115907	0.006684563	0.2925259	0.07575785	0.1639877	0.002571799	0.1122522	0.07811995	0.06271543	0.05336243	0.07463399	0.1160214	0.0657213	0.0124452	0.460401	0.205982	0.118669	0.136782	0.636404	0.142797	0.146116	0.0746835	3.031459
10	-667.4932	-679.768	12.27476	0.003190085	0.03310898	0.03025507	0.0540205	0.1502438	0.003823933	0.1152824	0.006239678	0.01005565	0.07429856	0.1422437	0.1536624	0.007546893	0.1593941	0.1119195	0.1963748	0.2031698	0.07053331	0.1393386	0.1042029	0.05796202	0.05365964	0.01933413	0.1274297	0.06694412	0.02229859	0.007452775	0.147845	0.06630552	0.1459671	0.003684047	0.06013351	0.1819886	0.09301439	0.02999478	0.06750351	0.2072448	0.140996	0.0545182	0.128826	0.151173	0.234037	0.29045	0.430497	0.262234	0.14442	0.162848	3.127667
20	-609.3684	-606.9048	-2.463613	0.005213956	0.203225	0.01740521	0.1723816	0.1933634	0.005620637	0.07565219	0.0049059	0.04132055	0.006110292	0.1383151	0.1372107	0.004111322	0.1592613	0.1710437	0.09846811	0.3244581	0.0652565	0.03681554	0.4230245	0.09758025	0.1571396	0.03481621	0.1457383	0.09953494	0.05300721	0.04767543	0.1622224	0.1858528	0.01970782	0.008974135	0.02623156	0.4777956	0.05486871	0.03214569	0.01941817	0.1429431	0.170823	0.069942	0.19375	0.0864261	0.148941	0.330118	0.300745	0.252783	0.261184	0.185289	4.048815
30	-577.6103	-573.2261	-4.384255	0.005112322	0.1804142	0.03186069	0.294406	0.1238349	0.02006688	0.1448824	0.005701819	0.01363941	0.02803319	0.2638693	0.03364049	0.00395497	0.04072079	0.07675231	0.1003108	0.7203378	0.01454899	0.02660789	0.2498953	0.1273031	0.0410346	0.06072029	0.1186937	0.1027534	0.0331927	0.09408294	0.3439452	0.1571386	0.01970384	0.01075054	0.01583935	0.3745413	0.1195455	0.04874819	0.02451987	0.09775198	0.155982	0.139793	0.17142	0.191691	0.0904662	0.250648	0.28848	0.172134	0.316326	0.22306	4.168856
40	-553.2836	-565.1132	11.82952	0.02338987	0.1595662	0.08463545	0.2042755	0.1199989	0.01399582	0.08030656	0.002211231	0.02009363	0.04574669	0.1649701	0.02028908	0.01549979	0.06795186	0.05807023	0.115086	0.505322	0.01817089	0.02817164	0.1128004	0.1407717	0.01163914	0.1500144	0.102877	0.1270022	0.04297545	0.04427733	0.1126374	0.06776892	0.005313688	0.005064265	0.01074143	0.1328377	0.0898115	0.1074368	0.04844531	0.09532813	0.133354	0.105318	0.126457	0.208454	0.189386	0.23703	0.340415	0.170583	0.259466	0.229536	3.155494
50	-550.8977	-565.6365	14.73873	0.04122071	0.1130424	0.07381081	0.09457599	0.1737212	0.01578835	0.01859846	0.00221468	0.005272775	0.04339407	0.111859	0.01169451	0.02421273	0.02358894	0.1697505	0.0592926	0.4364349	0.02475867	0.01381403	0.1917218	0.1584857	0.0402943	0.1188132	0.1196882	0.07743969	0.04252219	0.03114462	0.05163197	0.03833473	0.005938454	0.01918562	0.005676019	0.127603	0.1790771	0.1296955	0.05813585	0.1212356	0.173717	0.131268	0.140823	0.229841	0.0936189	0.230731	0.315151	0.179962	0.267542	0.237345	2.973669
60	-549.249	-559.576	10.32703	0.05015932	0.1263574	0.02779098	0.1143476	0.155798	0.01902523	0.06366786	0.01045458	0.003726838	0.03090354	0.08430267	0.03484845	0.06179052	0.00895759	0.1564241	0.0921096	0.5567385	0.02572936	0.004477809	0.1359598	0.1917519	0.01515332	0.2081424	0.04810672	0.1635259	0.1057764	0.03882499	0.02544019	0.04445107	0.006153249	0.03027251	0.01631993	0.1017883	0.08217335	0.1535138	0.1945623	0.05987432	0.131835	0.119636	0.242165	0.134825	0.181967	0.189572	0.248038	0.237544	0.31032	0.204099	3.2494
70	-539.4225	-548.4859	9.063386	0.06448362	0.1936014	0.01118051	0.2665909	0.1200097	0.08222555	0.06586225	0.01638207	0.01230259	0.01616423	0.1060451	0.01501972	0.127498	0.02325189	0.0885717	0.2019132	0.4068704	0.07757291	0.004905797	0.04064674	0.1128055	0.01298953	0.1765853	0.140445	0.104703	0.1049185	0.06864217	0.004757226	0.08268583	0.002743218	0.1264119	0.03903274	0.006926753	0.1734701	0.09049888	0.06789799	0.07176589	0.25051	0.117719	0.205154	0.0671559	0.204443	0.155018	0.246611	0.223397	0.291839	0.238153	3.328378
80	-513.8071	-519.2219	5.414797	0.06877995	0.237453	0.01023792	0.3426874	0.2336636	0.09644044	0.1614119	0.0452548	0.02460236	0.02875436	0.08780739	0.04058155	0.3986732	0.2089717	0.0328581	0.2382928	0.1343554	0.04388344	0.007860997	0.04760957	0.1040986	0.0103789	0.1474252	0.1114059	0.1142348	0.04616204	0.03007683	0.009602468	0.02633983	0.001081728	0.09276803	0.01843764	0.01000515	0.1841266	0.08476124	0.04536769	0.02996218	0.229786	0.0971189	0.169253	0.101564	0.168667	0.233612	0.24449	0.221475	0.289328	0.244707	3.556415
90	-509.5369	-514.0194	4.48251	0.1535638	0.2429685	0.01908028	0.2370513	0.1772872	0.09398732	0.09028388	0.009619078	0.1290045	0.03056355	0.2406122	0.02563575	0.4064934	0.1032541	0.05565364	0.1967478	0.0409555	0.02655933	0.01405957	0.06464037	0.2265576	0.01449722	0.1091653	0.09900299	0.06387471	0.05640562	0.1016792	0.006035604	0.04438057	0.0003476338	0.126357	0.01957238	0.02027994	0.13016	0.07224222	0.09840764	0.06769601	0.26243	0.0519933	0.199893	0.106717	0.176992	0.201975	0.260003	0.22638	0.295737	0.21788	3.614683
