Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1288.27	-1317.232	28.9624	0.09385505	0.1864841	0.001598919	0.03602115	0.1266924	0.02961452	0.0321149	0.01223158	0.02628705	0.008643065	0.04453331	0.04872364	0.02018426	0.02229279	0.04985107	0.01603787	0.02796086	0.1351873	0.002052889	0.01029591	0.04535208	0.04012602	0.004858573	0.07348776	0.05128527	0.01824275	0.08900047	0.00297044	0.05814874	0.05652344	0.004965361	0.01350874	0.1752826	0.174753	0.0573265	0.02915132	0.2590439	0.00344829	0.426828	0.0259107	0.0353434	0.185728	0.322742	0.267022	0.591624	0.0256524	0.115702	2.08469
10	-699.8862	-737.5986	37.71239	0.03328718	0.05145615	0.004519765	0.1090283	0.119499	0.05564517	0.01229486	0.01525725	0.01180896	0.03011241	0.04829721	0.05560087	0.1194156	0.03062395	0.04614241	0.01684819	0.04133681	0.07092755	0.008762786	0.01385382	0.04650815	0.0222941	0.01527215	0.09850019	0.05372733	0.01301799	0.05645893	0.01377682	0.04929921	0.03627942	0.006017674	0.007074401	0.06131652	0.0423983	0.02972895	0.05041727	0.0410093	0.193422	0.236311	0.185557	0.0657969	0.223392	0.0955206	0.238469	0.282593	0.269579	0.209358	1.537815
20	-613.758	-651.4311	37.67313	0.05190928	0.06618887	0.003971842	0.1585776	0.06991942	0.07981372	0.01711262	0.01553435	0.02778605	0.01732194	0.02186049	0.04020551	0.1273648	0.02426885	0.0313555	0.06422016	0.05066355	0.07710654	0.004353287	0.03670107	0.07240561	0.01389924	0.008510206	0.05869535	0.05775189	0.02421665	0.02646328	0.01522987	0.05694291	0.01604992	0.01130206	0.01827449	0.04817718	0.03617903	0.009214666	0.03417668	0.04654444	0.220668	0.121022	0.0919185	0.0817704	0.206762	0.27786	0.276462	0.24229	0.230324	0.250923	1.540269
30	-581.5708	-623.4745	41.90365	0.02247825	0.1148048	0.005201321	0.0550116	0.03863428	0.02875803	0.03106038	0.01233332	0.02576204	0.02461518	0.02070123	0.02620913	0.1047669	0.02130349	0.02562222	0.02756599	0.03676456	0.06403088	0.00605369	0.02814216	0.07288723	0.01387278	0.008382257	0.06786486	0.05777375	0.04447072	0.04614541	0.01336862	0.05118644	0.009981314	0.01031949	0.02176797	0.02688941	0.06631909	0.0146687	0.01796949	0.01217423	0.202275	0.157777	0.116487	0.201682	0.165019	0.156759	0.282177	0.19656	0.198849	0.322415	1.275861
40	-568.3351	-612.319	43.98391	0.02756451	0.04877554	0.004868246	0.05226539	0.02510794	0.03393895	0.009582714	0.01923509	0.05589559	0.01060358	0.06524598	0.02943503	0.06920459	0.02364712	0.01485643	0.06370948	0.006415805	0.03573317	0.001511574	0.04871013	0.06162843	0.0067997	0.01013682	0.09155383	0.06154324	0.04218516	0.01084763	0.0112237	0.07319326	0.01752675	0.003330506	0.0303156	0.02391484	0.01661172	0.02094734	0.01449604	0.003283828	0.21002	0.120307	0.111682	0.141822	0.184726	0.231443	0.285383	0.218593	0.277696	0.218328	1.145845
50	-550.0493	-595.2134	45.16412	0.05183188	0.04877554	0.01167069	0.117828	0.01586728	0.06049692	0.007633854	0.02816242	0.02045761	0.01042864	0.07082152	0.02201559	0.07326005	0.01208025	0.01442816	0.02376823	0.003676185	0.05410392	0.001826379	0.06020714	0.05328356	0.002704071	0.003975348	0.04961995	0.05693596	0.03155965	0.01736074	0.005782663	0.02222077	0.01557327	0.008016288	0.01662882	0.01258748	0.02795718	0.01946273	0.01714699	0.001926121	0.210189	0.140381	0.0920775	0.12955	0.18977	0.238032	0.267816	0.235444	0.276998	0.219743	1.072082
60	-535.4865	-580.3713	44.88479	0.03677672	0.03107701	0.003050619	0.08951283	0.04380794	0.03940798	0.006539882	0.01608619	0.03741425	0.01882497	0.05399064	0.01374228	0.1473298	0.01149001	0.01726049	0.04109935	0.003549966	0.01969264	0.003116932	0.04021328	0.0862505	0.001468381	0.004546096	0.03832523	0.04420562	0.04988293	0.003967048	0.004269376	0.02958276	0.02602349	0.01551034	0.02531001	0.01336833	0.0454148	0.01073773	0.01192558	0.0047685	0.243652	0.125185	0.104348	0.125884	0.169054	0.231877	0.237896	0.217118	0.255437	0.28955	1.089541
70	-520.9782	-565.3013	44.32306	0.05431102	0.05064686	0.006815915	0.06952091	0.04969391	0.0507173	0.005267171	0.004524679	0.01611724	0.007666131	0.02808696	0.01781516	0.1649428	0.01195	0.02658552	0.01414454	0.001679738	0.05226031	0.00328173	0.08110421	0.05250047	0.0009924421	0.009848681	0.07474345	0.01655078	0.09449843	0.009674908	0.004718633	0.01656224	0.02042718	0.0110666	0.022469	0.01800711	0.02103956	0.02080927	0.007919416	0.005688148	0.255256	0.0940144	0.155702	0.162949	0.177105	0.154973	0.207184	0.238297	0.272702	0.281817	1.124648
80	-525.5662	-569.3685	43.80233	0.04492519	0.038941	0.006168331	0.06574017	0.02210901	0.0373617	0.003615848	0.01144922	0.004030662	0.01098054	0.0747044	0.05865029	0.09741916	0.005815256	0.06806084	0.05148844	0.0007949979	0.01357762	0.001753909	0.07264662	0.09528544	0.003631458	0.01220415	0.0376424	0.03313809	0.04414354	0.01407943	0.01383182	0.02526937	0.03337712	0.05549149	0.01482193	0.01953582	0.0195821	0.03395633	0.008947047	0.002023475	0.263581	0.116784	0.164317	0.171965	0.127219	0.156135	0.214656	0.246891	0.246474	0.29198	1.157194
90	-523.72	-567.8337	44.11371	0.02493349	0.03665888	0.01407912	0.06059527	0.03129021	0.0328693	0.002137727	0.003815237	0.004030662	0.01548379	0.0377563	0.02060575	0.1388895	0.007341985	0.09376419	0.02982238	0.001081741	0.03556609	0.001971612	0.03200828	0.05467371	0.005820164	0.02616378	0.03365786	0.07234579	0.06690922	0.02477055	0.004919342	0.008972345	0.05303917	0.02687701	0.03281169	0.01666188	0.01419259	0.05015097	0.01986548	0.001199505	0.290889	0.135285	0.118167	0.103612	0.147373	0.204674	0.257393	0.22123	0.295545	0.225833	1.137733
