Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-3461.944	-3489.987	28.04271	0.002855313	0.2136349	0.05715205	0.03922668	0.005567221	0.007753231	0.1342454	0.0827976	0.2021858	0.02238284	0.1522724	0.001298311	0.05448489	0.01837013	0.07496928	0.04341859	0.06535881	0.03106717	0.0272115	0.004431846	0.01756698	0.0844471	0.008892927	0.003999563	0.05124694	0.05689373	0.005536734	0.0121082	0.02055431	0.1017288	0.03738053	0.04736115	0.02383345	0.07176512	0.2998475	0.03425482	0.02406863	0.344838	0.219685	0.215701	0.09181	0.0489358	0.0790301	0.58582	0.125636	0.0424856	0.246058	2.14217
10	-1803.176	-1810.91	7.734111	0.05930665	0.4910249	0.03255088	0.1493983	0.01951059	0.01114836	0.09812992	0.2202671	0.2440463	0.05503557	0.1384173	0.002341048	0.1276309	0.02837139	0.07690908	0.09757237	0.1566006	0.1166483	0.0650846	0.01648591	0.01693329	0.2305209	0.009117213	0.00549479	0.08416769	0.0506893	0.01770059	0.006001002	0.02611814	0.2194785	0.046897	0.0493753	0.05359195	0.1571277	0.179913	0.02571347	0.02613772	0.375532	0.200213	0.0716031	0.217507	0.0369808	0.0981639	0.192966	0.172366	0.159532	0.475137	3.411458
20	-1557.899	-1564.059	6.160844	0.1897046	0.1809682	0.01121276	0.1237041	0.03568709	0.01689066	0.01939339	0.295208	0.112725	0.08421177	0.10669	0.001523662	0.02342183	0.02658284	0.06302009	0.05067716	0.04833355	0.0518183	0.09629835	0.02741946	0.1252627	0.4778871	0.02464919	0.01415459	0.123041	0.02582263	0.03380304	0.01711631	0.1092532	0.1013324	0.03989453	0.0301213	0.1852554	0.232783	0.1218936	0.09399172	0.1880342	0.223717	0.253511	0.0739387	0.224602	0.0874535	0.136778	0.204871	0.234544	0.19519	0.365395	3.509787
30	-1491.039	-1492.497	1.458059	0.2489955	0.1495126	0.01457213	0.1551672	0.006646828	0.01689464	0.02979668	0.1988425	0.07673054	0.07626183	0.1140946	0.000982086	0.03683753	0.0203988	0.06851239	0.04791268	0.03266802	0.04256801	0.08281905	0.05122455	0.09379366	0.802555	0.03758777	0.03374114	0.05297775	0.02086755	0.01786553	0.03345063	0.06651523	0.07121179	0.07264936	0.02423898	0.2572535	0.2496396	0.1443395	0.1200211	0.2335649	0.23777	0.204074	0.151132	0.155131	0.141787	0.110105	0.198222	0.20448	0.243763	0.353536	3.803711
40	-1498.716	-1499.678	0.9621681	0.2383598	0.2164121	0.02314705	0.1637203	0.02017173	0.047414	0.07085749	0.07943118	0.1028965	0.05235496	0.1349828	0.001332465	0.02854931	0.01874567	0.0291978	0.07196838	0.05074409	0.03955673	0.1011674	0.03126081	0.1030434	0.6336469	0.04479251	0.04310147	0.0645456	0.02500143	0.02163275	0.05946598	0.07571123	0.0757724	0.06405401	0.0262519	0.1986946	0.3815302	0.08259892	0.1518393	0.2607511	0.24858	0.245216	0.116388	0.131434	0.143386	0.114996	0.195556	0.229363	0.227992	0.34709	3.834704
50	-1491.486	-1484.208	-7.277929	0.3969521	0.09305886	0.03248894	0.1329065	0.02921001	0.0213404	0.06188672	0.1461635	0.111159	0.06272733	0.1790381	0.001800607	0.02902519	0.02131278	0.02856068	0.1247548	0.04057748	0.0319226	0.07211241	0.02986123	0.07397674	0.8691456	0.04514388	0.135728	0.06241349	0.01468009	0.04772718	0.05152819	0.08213437	0.0590383	0.03576716	0.01855044	0.463337	0.2155845	0.1090239	0.1529444	0.2661277	0.167076	0.199279	0.196344	0.115249	0.123108	0.198944	0.206525	0.298943	0.279035	0.215497	4.34971
60	-1481.526	-1475.251	-6.275489	0.2717737	0.2517842	0.01647605	0.09439227	0.04470749	0.02029025	0.08769897	0.3242443	0.128538	0.04831087	0.1241994	0.003101676	0.09249147	0.04706195	0.02681495	0.1370588	0.03593926	0.1020099	0.04027887	0.02968271	0.06437075	0.5446825	0.0210129	0.05716871	0.0659087	0.01059234	0.03784957	0.2371707	0.1341134	0.06047463	0.007703364	0.01452472	0.3105455	0.3275841	0.1765368	0.05517895	0.234785	0.189183	0.193396	0.143184	0.103609	0.191777	0.178851	0.285416	0.257034	0.252007	0.205544	4.287058
70	-1469.025	-1467.71	-1.315138	0.2591127	0.2423889	0.01639033	0.1004863	0.03584248	0.002689262	0.09667276	0.2570923	0.06884439	0.006870173	0.07238224	0.004693565	0.08238879	0.02551458	0.07111175	0.08438589	0.02754962	0.06504883	0.04558247	0.0236403	0.06957743	0.5955335	0.003396734	0.07978453	0.1116737	0.01108188	0.03819489	0.1821608	0.1151352	0.02392812	0.01494119	0.005840215	0.3291246	0.3164706	0.1841378	0.07258179	0.234785	0.179863	0.148372	0.154758	0.162068	0.188484	0.166455	0.283094	0.268991	0.249957	0.197958	3.977036
80	-1476.774	-1472.794	-3.980382	0.2679363	0.1249503	0.05902529	0.113408	0.09527973	0.00418061	0.1370998	0.180456	0.105583	0.02794978	0.1216815	0.03117413	0.07670468	0.009309864	0.09270206	0.05614156	0.02181767	0.05584695	0.09745408	0.04264952	0.08413048	0.5158592	0.007425165	0.1086523	0.0455679	0.02490841	0.06785907	0.3156407	0.09360443	0.02660628	0.01922836	0.02421285	0.2740826	0.3059496	0.1750287	0.03604549	0.2974611	0.167648	0.219663	0.182492	0.152044	0.0999774	0.178175	0.284751	0.264713	0.25142	0.199117	4.143613
90	-1458.954	-1456.508	-2.446016	0.3004166	0.1516408	0.04532411	0.1685142	0.05909072	0.0006952212	0.05516585	0.1771329	0.09275898	0.02889135	0.0428163	0.0363916	0.07386476	0.01708205	0.1284726	0.08434897	0.02532008	0.08606418	0.07454508	0.02499359	0.169818	0.5232329	0.00303602	0.1067474	0.09157965	0.01255133	0.09606812	0.2343125	0.07308547	0.02808872	0.008639546	0.007824638	0.3115249	0.202193	0.1576565	0.09132948	0.2564974	0.182112	0.238614	0.199916	0.110273	0.108603	0.160483	0.252917	0.312037	0.21686	0.218186	4.047716
