Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3050.342	-3067.255	16.91296	8.222999	0.1093378	0.1561521	0.007013011	0.2133927	0.04029237	0.02568048	0.3606682	0.05233878	0.03089652	0.04853052	0.003566469	0.09727799	0.1558661	0.03473571	0.08922452	0.04782643	0.0009256515	0.008646312	0.1173216	0.1631517	0.04323201	0.1227061	0.001638535	0.01772547	0.1797238	0.03524659	0.02196528	0.02567157	0.01056248	0.06767365	0.1271543	0.003911151	0.008823031	0.02852045	0.1252115	0.1096292	0.001628195	0.0552466	0.112427	0.370534	0.239774	0.0992817	0.122737	0.9087622	0.772546	0.0184155	0.0261093	0.182929	0.597956	0.85492	1.07614	1.47099	2.693868
10	-1882.274	-1905.379	23.10516	1.530933	0.09029872	0.240927	0.01644817	0.06860733	0.086878	0.04248432	0.1619671	0.0114275	0.08131952	0.1023034	0.03365182	0.09845742	0.06073082	0.1440537	0.1212043	0.03418174	0.002259713	0.00809972	0.07024748	0.2071345	0.02812792	0.07196641	0.003298753	0.007467931	0.05216463	0.01330337	0.05279834	0.02470962	0.01279165	0.02848451	0.07085893	0.02225623	0.01231895	0.01478777	0.09757768	0.1102539	0.001006769	0.153758	7.58768e-05	0.180665	0.381581	0.238298	0.0456224	0.7412957	0.320506	0.197946	0.127004	0.354544	0.230062	0.593625	1.05219	2.12413	2.306856
20	-1612.786	-1625.599	12.81335	1.106825	0.08615438	0.296525	0.07896695	0.03607246	0.1787067	0.1334597	0.1480753	0.02291708	0.1734996	0.181185	0.08149433	0.07072662	0.08874821	0.307418	0.05019856	0.1425573	0.002236588	0.002458717	0.0361571	0.1155666	0.03572028	0.03438343	0.009245688	0.009197539	0.0282852	0.04967948	0.198615	0.02631713	0.005106772	0.03429087	0.09070246	0.04158903	0.009695142	0.01161652	0.04884986	0.08277592	0.0008990399	0.252618	0.000111393	0.0819013	0.454273	0.132232	0.0788635	0.106427	0.393207	0.141689	0.211324	0.25378	0.157762	0.506663	1.01567	2.31991	2.950094
30	-1514.158	-1521.165	7.006851	1.607947	0.1579584	0.185379	0.1003029	0.0544836	0.1752178	0.09479325	0.115607	0.01193455	0.1578309	0.1697828	0.1227671	0.08057619	0.1739289	0.1854142	0.01138595	0.1436626	0.00130516	0.003259329	0.032796	0.1179439	0.07874486	0.1559334	0.009058305	0.01955614	0.025047	0.06614456	0.1903008	0.0158121	0.005263898	0.02827249	0.05603618	0.1236485	0.003331428	0.03552359	0.1022797	0.3002449	0.00147238	0.224641	0.00325429	0.0706295	0.388404	0.27239	0.0406803	0.09651244	0.41997	0.151332	0.246857	0.181841	0.241527	0.605591	1.05618	2.0967	3.313
40	-1465.206	-1469.285	4.07885	1.679862	0.1108212	0.06110341	0.1964089	0.01962741	0.1072703	0.07095439	0.2549972	0.03564738	0.2546148	0.1200406	0.2025174	0.07798607	0.1213188	0.2166455	0.01694969	0.1368628	0.001561007	0.001751596	0.03208024	0.03836165	0.09143122	0.2316883	0.02535365	0.01018761	0.05493618	0.08812732	0.1097611	0.03842971	0.019577	0.04681892	0.05172196	0.3353064	0.009935211	0.01172214	0.06588318	0.2187549	0.008844906	0.220366	0.0578936	0.145002	0.26568	0.262828	0.0482317	0.0544093	0.290441	0.197363	0.322691	0.189504	0.251819	0.615992	1.05944	2.07275	3.496
50	-1466.569	-1465.461	-1.108721	3.411535	0.1594848	0.01097466	0.2321605	0.002958015	0.1003304	0.05412097	0.2517817	0.02957358	0.2172147	0.1173947	0.1919709	0.09310196	0.2383062	0.2233653	0.02517139	0.1406349	0.001464784	0.001584127	0.03545448	0.1093691	0.07239785	0.09946835	0.08088904	0.0333743	0.099769	0.1155762	0.1956259	0.02798162	0.02161818	0.04317657	0.1022483	0.2905689	0.01834845	0.01319877	0.1379497	0.2288052	0.002809543	0.325687	0.0586973	0.152576	0.198626	0.19233	0.0720832	0.07611064	0.267637	0.181867	0.316489	0.234007	0.41879	0.752037	1.08391	1.74526	3.820223
60	-1456.203	-1459.62	3.416876	2.320949	0.05945098	0.005293647	0.133578	0.004646452	0.1900151	0.03236413	0.1605073	0.007796752	0.2300449	0.1272756	0.1974758	0.1802641	0.1020644	0.188723	0.006291071	0.1215438	0.006684497	0.001407374	0.06469339	0.06664831	0.04026399	0.1349432	0.2134178	0.0292318	0.09394153	0.0350211	0.1107316	0.0912571	0.03750961	0.03671038	0.178554	0.2540985	0.005673673	0.03969621	0.1014961	0.2295927	0.01846533	0.3208	0.0572553	0.152658	0.2	0.163548	0.10574	0.03882052	0.292727	0.207876	0.243452	0.255945	0.328796	0.685312	1.07628	1.90961	3.537373
70	-1460.72	-1459.202	-1.517515	2.770757	0.04848323	0.003627141	0.1444386	0.01067804	0.1513507	0.02483796	0.219714	0.002755082	0.2029605	0.2725347	0.1756634	0.1392248	0.1084586	0.2531984	0.01776859	0.1081326	0.00716187	0.002676116	0.05989847	0.0552602	0.04219416	0.1547257	0.217833	0.05273769	0.08619328	0.07626868	0.06454551	0.0851447	0.02401612	0.08051707	0.1630039	0.2612935	0.00327519	0.02966788	0.1304646	0.3414776	0.02359106	0.284614	0.098857	0.144439	0.17362	0.228894	0.0695762	0.03882052	0.304878	0.214873	0.267595	0.212654	0.370711	0.71799	1.08112	1.83018	3.845773
80	-1454.106	-1454.454	0.3475266	2.249812	0.06669714	0.003877474	0.145852	0.013561	0.1710213	0.01273262	0.2356176	0.004030168	0.3472721	0.1100255	0.1915666	0.1346985	0.1316514	0.2291701	0.04329312	0.1098114	0.0127761	0.01014061	0.06115583	0.01028838	0.05326842	0.1349376	0.1192234	0.050913	0.0738836	0.09392978	0.06861835	0.1381411	0.01299834	0.07692856	0.1798654	0.2127943	0.001446753	0.07340045	0.08698745	0.2618756	0.04475641	0.269932	0.0742873	0.199174	0.147635	0.238493	0.0704796	0.07111554	0.272983	0.198172	0.332719	0.196126	0.321376	0.679195	1.07515	1.92428	3.729208
90	-1460.845	-1463.654	2.80949	1.601948	0.0837354	0.00352879	0.1387384	0.01314219	0.1251356	0.01644182	0.1915104	0.006659186	0.289066	0.07601682	0.1736142	0.06213756	0.108711	0.3393549	0.009613829	0.1028842	0.02827188	0.009947414	0.0425686	0.041301	0.09580154	0.09961971	0.03420461	0.01470548	0.06489193	0.1159003	0.07558703	0.1826838	0.00777206	0.06133449	0.06546515	0.2876447	0.009495886	0.04984005	0.09998743	0.3866428	0.06137862	0.312172	0.0709404	0.174876	0.115204	0.227748	0.0990589	0.09664659	0.237733	0.19758	0.36555	0.199136	0.24065	0.604691	1.05589	2.09877	3.575335
