Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3422.299	-3449.37	27.07105	7.978249	0.03482393	0.04361139	0.08464516	0.02249298	0.08033503	0.2867862	0.01069203	0.01301118	0.03201511	0.03710539	0.07665142	0.03730097	0.01140658	0.02677817	0.06614792	0.00611812	0.02446485	0.1427203	0.07191706	0.002973994	0.03520052	0.1435399	0.05111482	0.1092567	0.03174232	0.06880181	0.007163425	0.02956924	0.002966848	0.03014512	0.02944612	0.05338151	0.04788448	0.03694794	0.1242387	0.1065886	0.03900156	0.00401254	0.368705	0.252779	0.208517	0.12819	0.0377963	0.05796993	0.0416203	0.185896	0.133841	0.638643	0.592567	0.85227	1.07669	1.47847	2.058987
10	-2179.431	-2196.949	17.51854	2.608906	0.09341922	0.08637909	0.1806963	0.03472899	0.05015092	0.1170308	0.007577716	0.03759927	0.06102755	0.01619915	0.1800124	0.105456	0.02784255	0.04518062	0.06160277	0.0109119	0.02298014	0.06218559	0.3155855	0.006715961	0.08546641	0.08805678	0.1154576	0.1802453	0.06329665	0.01463279	0.01010704	0.1547263	0.003256425	0.0621723	0.02072953	0.1085773	0.06887079	0.04925916	0.02880533	0.03794563	0.04113156	0.038678	0.610332	0.0875085	0.110178	0.0417359	0.111568	0.4793741	0.159319	0.481555	0.113203	0.245923	0.356544	0.707284	1.07976	1.85641	2.656019
20	-1758.742	-1763.245	4.503341	7.178809	0.3519685	0.1127099	0.0342667	0.1232364	0.02098376	0.0637346	0.01543404	0.1615674	0.0812404	0.04711142	0.1560396	0.0884014	0.0685213	0.03224245	0.04037972	0.0324899	0.02368273	0.03230432	0.5720882	0.07172574	0.08790487	0.04228772	0.03608107	0.2589293	0.1651987	0.01078672	0.03219932	0.3303527	0.00220072	0.0361739	0.02759948	0.03681662	0.01852398	0.1084024	0.01923586	0.04393531	0.08271196	0.111135	0.306435	0.158745	0.169461	0.0807733	0.173451	0.1639132	0.308952	0.346576	0.133061	0.211411	0.573292	0.842593	1.07854	1.50558	3.469469
30	-1648.892	-1641.184	-7.708134	2.490994	0.3979746	0.2380852	0.02853768	0.07173976	0.006079489	0.02009276	0.04103792	0.1292706	0.08302573	0.02017005	0.1834456	0.04716337	0.1886103	0.01276392	0.01323257	0.06584513	0.01660428	0.03389338	0.5215514	0.1738307	0.1542603	0.04700242	0.07550077	0.2920635	0.2570176	0.01268656	0.04496426	0.4047928	0.007118536	0.01951383	0.03140016	0.1415889	0.009025143	0.2430341	0.02759751	0.06204703	0.1101185	0.11938	0.271813	0.140809	0.171098	0.0716472	0.225252	0.003311669	0.274985	0.333201	0.151348	0.240465	0.345601	0.698783	1.07852	1.87709	4.232686
40	-1601.804	-1588.572	-13.23139	9.838321	0.403054	0.1763913	0.008771867	0.1426894	0.004104419	0.0166361	0.0347117	0.2684636	0.1118422	0.0159703	0.1070696	0.01675653	0.2644175	0.01554789	0.006826491	0.08418823	0.008982928	0.07820989	0.76262	0.05338725	0.09670308	0.07854567	0.04447661	0.2579905	0.05532047	0.01438706	0.0884953	0.5423887	0.02115402	0.02166103	0.07730977	0.2041164	0.007034621	0.245078	0.07173294	0.05074124	0.1201136	0.205427	0.204838	0.13997	0.12894	0.151075	0.16975	0.003311669	0.259552	0.277941	0.215119	0.247388	0.62877	0.869633	1.07266	1.42893	4.57789
50	-1591.097	-1581.529	-9.568175	8.988786	0.4392466	0.1187872	0.01562447	0.1095031	0.009704663	0.01924747	0.06713261	0.4083573	0.1150236	0.02636229	0.1457227	0.02188377	0.3008018	0.007956891	0.005782813	0.09532365	0.02525428	0.04910251	0.6295448	0.01535848	0.08813363	0.08125645	0.02527687	0.141565	0.0259365	0.01131366	0.1171745	0.4682104	0.01702186	0.01327925	0.1691397	0.1849883	0.01959688	0.1433262	0.03182632	0.06065693	0.1245154	0.169926	0.18807	0.181996	0.151462	0.162808	0.145737	0.003311669	0.260072	0.279737	0.212308	0.247884	0.613504	0.862437	1.07445	1.44961	4.348939
60	-1570.938	-1562.263	-8.675043	8.516078	0.3170551	0.1666035	0.02601209	0.1408696	0.02268821	0.01097184	0.07049836	0.2206143	0.1095823	0.02047663	0.07819798	0.02416832	0.3749546	0.04807642	0.003355784	0.1285885	0.0331459	0.01511033	0.5774122	0.00825997	0.0596231	0.02250651	0.005287496	0.3063689	0.03183724	0.008946971	0.1657361	0.2780894	0.04970681	0.0108057	0.1939169	0.2557403	0.029721	0.1311828	0.1000833	0.04322922	0.2036943	0.135805	0.176449	0.139095	0.130429	0.169579	0.248644	0.003311669	0.28088	0.302119	0.229295	0.187706	0.60413	0.857928	1.07548	1.46246	4.293118
70	-1555.784	-1544.824	-10.95985	8.084724	0.3567158	0.2184492	0.01292959	0.09703913	0.01413103	0.009972204	0.07933132	0.13142	0.0980709	0.01805835	0.2095175	0.04158178	0.4622863	0.0328467	0.002197227	0.1090782	0.03047863	0.03413646	0.5143462	0.01414512	0.1068494	0.03242168	0.01081295	0.2239252	0.1268233	0.002383103	0.1289904	0.373371	0.1122416	0.004380715	0.1235825	0.2791217	0.04205849	0.0473357	0.1606655	0.03393278	0.1402911	0.146662	0.171882	0.180426	0.12819	0.130632	0.242208	0.003311669	0.25054	0.337192	0.202772	0.209496	0.594939	0.853439	1.07645	1.47517	4.435919
80	-1561.085	-1555.248	-5.837586	9.598383	0.3161435	0.1334579	0.007780951	0.1306739	0.02200749	0.02681007	0.06152088	0.08561424	0.06786429	0.01444778	0.1104912	0.02849618	0.4807617	0.0284044	0.002901066	0.1185024	0.02981975	0.02862372	0.6909431	0.01149886	0.1128758	0.00874694	0.03322068	0.2315483	0.1030962	0.002351181	0.1583213	0.3058819	0.07017218	0.009876228	0.1021625	0.2548476	0.0166214	0.04225451	0.164662	0.02919215	0.07318291	0.174349	0.18886	0.141063	0.108402	0.13851	0.248817	0.06117328	0.270404	0.284643	0.218848	0.226105	0.624646	0.867707	1.07316	1.43449	4.115777
90	-1508.261	-1504.841	-3.41946	5.525599	0.3870694	0.1518211	0.01109681	0.1341625	0.01374785	0.02874112	0.05657906	0.08444351	0.06746729	0.0709015	0.1800072	0.02978956	0.1612568	0.01062318	0.003236451	0.1240627	0.01949963	0.05108502	0.5048606	0.01067463	0.08869381	0.0116085	0.087669	0.2732074	0.09035354	0.002295594	0.09315035	0.2163635	0.1007444	0.009036177	0.1184561	0.3380712	0.01649537	0.04476557	0.2749349	0.02669937	0.07097378	0.175914	0.206935	0.161093	0.190927	0.128033	0.137097	0.01331133	0.266855	0.280907	0.215976	0.236262	0.522544	0.815555	1.08229	1.57961	3.964644
