Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
100	-540.1429	-574.786	34.64313	0.6241526	0.0321218	0.06029481	0.0545224	0.04894684	0.06467668	0.04829758	0.00495034	0.01898136	0.02643508	0.03758788	0.002673986	0.03806363	0.05476046	0.01100973	0.1015961	0.02194102	0.02861104	0.0006692671	0.06796088	0.04826476	0.07614679	0.005435025	0.02802654	0.06323023	0.04071959	0.05639652	0.01061627	0.01176665	0.006032936	0.1198883	0.03490125	0.001176373	0.04745607	0.004354179	0.1341263	0.1268113	0.04628242	0.115447	0.107604	0.183074	0.151179	0.264527	0.178168	0.0583327	0.326236	0.167462	0.227847	0.278455	0.0581246	0.325434	0.893158	2.72328	1.585732
110	-540.8451	-577.6079	36.76285	0.8492794	0.03688387	0.04351827	0.01979354	0.05703262	0.0224102	0.06247742	0.004362406	0.01270461	0.02792167	0.04292312	0.002670096	0.04703607	0.02801888	0.01974476	0.07819583	0.02276873	0.03693999	0.0008661855	0.08894505	0.027949	0.02721787	0.004549424	0.01826086	0.1377729	0.04004076	0.04345379	0.01201261	0.01446529	0.02020867	0.144995	0.02799089	0.003466277	0.008502954	0.00641882	0.1106371	0.07824904	0.07184558	0.104412	0.122132	0.166092	0.146473	0.284136	0.176755	0.1551574	0.248644	0.249303	0.180771	0.321282	0.105993	0.426243	0.969727	2.49804	1.45325
120	-531.3909	-570.5333	39.14242	1.06257	0.06675343	0.01382218	0.0220487	0.06745779	0.04307151	0.05002073	0.007201106	0.007719232	0.01197114	0.01973174	0.003123093	0.01058857	0.04373681	0.01271549	0.09772933	0.02063261	0.02057069	0.001140558	0.08876111	0.09758686	0.03043018	0.006216492	0.01920516	0.08863262	0.02180662	0.04071414	0.008440874	0.01997158	0.01557203	0.1171327	0.03047893	0.001574252	0.03102375	0.006928577	0.06965308	0.06767299	0.02269024	0.111447	0.0589623	0.247232	0.230198	0.225626	0.126534	0.08944555	0.217171	0.217747	0.287422	0.277661	0.149267	0.494783	1.00964	2.34631	1.304527
130	-540.3432	-578.6005	38.2573	1.8906	0.04529477	0.01800049	0.02218493	0.0562198	0.01792936	0.07996572	0.0112332	0.02300973	0.007960857	0.01872429	0.003847445	0.004090573	0.02233817	0.02528383	0.1064179	0.03850998	0.01504573	0.002788808	0.01350629	0.04457204	0.08834894	0.01373962	0.02202415	0.07644758	0.09131984	0.05901874	0.01051639	0.03656413	0.0122591	0.1125476	0.02102231	0.002384827	0.02053183	0.01029158	0.1286114	0.06710388	0.0101912	0.166892	0.0804986	0.168394	0.171808	0.311859	0.100549	0.08275372	0.288825	0.215627	0.220591	0.274957	0.279856	0.642852	1.06699	2.0103	1.359847
140	-544.3264	-582.2155	37.88906	1.765115	0.04289953	0.001779962	0.03637722	0.08179319	0.02850834	0.07043243	0.006241919	0.0144399	0.01225567	0.05175375	0.004822701	0.01201309	0.05052922	0.01314104	0.06260265	0.07082008	0.02338048	0.002274303	0.04116042	0.03279785	0.05294017	0.01339824	0.03297878	0.08195156	0.0684716	0.07633782	0.01978211	0.01472132	0.02517892	0.137337	0.05301525	0.001759493	0.008697535	0.008028485	0.04561613	0.07088612	0.01173781	0.213512	0.0456172	0.194848	0.241595	0.225312	0.0791167	0.1030815	0.27143	0.236311	0.210873	0.281387	0.263528	0.627461	1.06282	2.04619	1.382862
150	-534.8039	-575.9264	41.12242	1.803912	0.02650545	0.001599625	0.01447631	0.08438469	0.05450943	0.03569014	0.01113615	0.01077781	0.03137426	0.06645233	0.008452723	0.02337988	0.04204071	0.0074839	0.05526644	0.01701031	0.03005723	0.005741768	0.03838463	0.038706	0.03612369	0.01587521	0.06397099	0.03964853	0.03423373	0.03926934	0.03334745	0.02921113	0.02607736	0.09503134	0.01760848	0.0007932751	0.005836381	0.01665443	0.07731293	0.03971176	0.006640713	0.187595	0.119234	0.183536	0.218216	0.181691	0.109727	0.1212211	0.258516	0.225068	0.194922	0.321493	0.268688	0.632399	1.06421	2.0347	1.180777
160	-528.7352	-569.3401	40.60483	2.305242	0.0257577	0.005252484	0.03270423	0.08870455	0.03317504	0.02471265	0.01116641	0.01365555	0.007196419	0.06199136	0.01353022	0.03430516	0.02767881	0.007221914	0.0736056	0.01485705	0.02022659	0.00708736	0.02793999	0.05022907	0.02253654	0.009098277	0.0483313	0.05491176	0.01637094	0.05615233	0.03586841	0.0231992	0.01947978	0.0861152	0.02024771	0.004419902	0.006146324	0.009386748	0.04911805	0.1446478	0.02609772	0.153888	0.147956	0.174855	0.230361	0.211353	0.0815868	0.1954342	0.260682	0.243031	0.255727	0.24056	0.327178	0.683987	1.07604	1.9128	1.213126
170	-529.2343	-569.0644	39.83009	1.132404	0.02370402	0.006469837	0.01783824	0.03318997	0.07974858	0.0184086	0.005497087	0.007953024	0.007162514	0.03250536	0.01453992	0.01836538	0.08256362	0.02131591	0.07433627	0.00726741	0.02590474	0.004795297	0.07722685	0.01629912	0.01828734	0.02103073	0.02948119	0.1038969	0.0389497	0.02798669	0.02810148	0.01405804	0.004116009	0.183295	0.02948438	0.004366252	0.0006813173	0.006689779	0.06989451	0.08935253	0.01678352	0.112753	0.220425	0.162031	0.198732	0.198743	0.107316	0.08268469	0.266323	0.241176	0.253776	0.238725	0.16259	0.513227	1.01889	2.30529	1.261547
180	-535.4635	-574.809	39.34547	0.8126479	0.01941993	0.01037181	0.01201722	0.07397735	0.04183003	0.0200111	0.01411519	0.005505188	0.03162942	0.0401257	0.003718643	0.03050919	0.0387928	0.01403382	0.03289616	0.004460019	0.01964078	0.00735008	0.08493662	0.01678504	0.05813782	0.03243226	0.0261017	0.09298735	0.03440593	0.04071148	0.009370395	0.01754749	0.00223562	0.08139041	0.04029175	0.01228244	0.0005009475	0.00595548	0.1249982	0.1398394	0.05052179	0.161748	0.0406114	0.145913	0.366633	0.233193	0.0519022	0.1914561	0.225338	0.154547	0.258817	0.361298	0.0982471	0.412177	0.960399	2.52918	1.291836
190	-532.5563	-571.0256	38.46933	1.097627	0.04196801	0.01063197	0.02631036	0.08941708	0.02931446	0.02283812	0.004859857	0.005407318	0.02999221	0.0308118	0.008153227	0.06451573	0.03701314	0.009946427	0.06848196	0.001952515	0.04580816	0.004503891	0.03529979	0.01435678	0.0429509	0.02418835	0.009036828	0.06538786	0.05393733	0.04151258	0.01072732	0.01674781	0.001077873	0.1487961	0.03563439	0.009387461	0.0003147657	0.0116611	0.07094009	0.1735679	0.04914332	0.193943	0.100015	0.161924	0.219344	0.198276	0.126498	0.2483745	0.260684	0.206464	0.299414	0.233438	0.156011	0.50425	1.01446	2.32527	1.346595
200	-537.4008	-577.892	40.49119	1.744109	0.07264651	0.01380168	0.01610532	0.08481457	0.0349462	0.08695682	0.00575546	0.008277948	0.02306658	0.02590669	0.01335012	0.09154761	0.04660568	0.003990907	0.0441958	0.002164683	0.03912568	0.01124689	0.02942507	0.01412234	0.03001633	0.01395059	0.004307662	0.04353683	0.01560081	0.09752939	0.009881637	0.01559219	0.001150074	0.07790277	0.01935348	0.006667091	0.0005479116	0.012367	0.08709076	0.07667731	0.04000438	0.149022	0.217556	0.135425	0.124336	0.243983	0.129678	0.2127607	0.229881	0.252984	0.238141	0.278994	0.260691	0.624717	1.06204	2.05256	1.220229
210	-547.3613	-584.1994	36.83806	1.217188	0.07412884	0.004641405	0.01181837	0.06429473	0.08452986	0.0305094	0.02526006	0.003326262	0.005062477	0.04792217	0.01058074	0.06159103	0.03992505	0.01501089	0.09296738	0.004249082	0.07660487	0.03323602	0.01383764	0.03099939	0.03980006	0.04949547	0.006303658	0.05383497	0.0251547	0.1234828	0.04322351	0.009077112	0.00278362	0.08370196	0.02746996	0.009958713	0.0007248316	0.005855126	0.05005331	0.1242223	0.06291145	0.222425	0.14918	0.236131	0.20902	0.0866077	0.096636	0.3432107	0.272976	0.241286	0.227129	0.258609	0.178154	0.533543	1.02837	2.25993	1.448549
220	-544.0019	-579.1003	35.09844	1.180396	0.05912027	0.004173155	0.006628883	0.09353938	0.06493543	0.04298518	0.02530813	0.006359264	0.00616124	0.04278885	0.01664307	0.01798937	0.02316566	0.006170738	0.07307625	0.01003511	0.05262999	0.02172881	0.02745892	0.02836887	0.06139925	0.08288767	0.001412741	0.06153483	0.01758992	0.09026179	0.05715226	0.01424237	0.004834113	0.1268844	0.02550884	0.02813961	0.0003761962	0.01202935	0.1253235	0.1513841	0.06704798	0.240789	0.113128	0.199423	0.195973	0.200739	0.0499471	0.2046779	0.308509	0.169287	0.229932	0.292272	0.171483	0.524986	1.02447	2.27906	1.557275
230	-537.4553	-576.6332	39.1779	1.395967	0.04028901	0.003020103	0.006147878	0.06762976	0.03275337	0.03730487	0.05490869	0.01236234	0.01434374	0.05874774	0.02002396	0.02360138	0.01336953	0.005908652	0.06309824	0.01117252	0.05796515	0.01488756	0.0434706	0.05892516	0.02581645	0.01991298	0.003662425	0.09965017	0.05207175	0.03003447	0.03657495	0.009323658	0.008359034	0.09843772	0.05235786	0.03699325	0.0009084962	0.008671398	0.06842722	0.08325974	0.02791763	0.0860341	0.112026	0.254503	0.234776	0.210983	0.101677	0.2832022	0.291696	0.263144	0.21863	0.22653	0.208795	0.570271	1.04368	2.17725	1.302309
240	-553.4666	-593.9503	40.48366	5.034363	0.02337179	0.002605685	0.004945273	0.03367415	0.1104909	0.02496341	0.01099725	0.02256301	0.0237019	0.04512603	0.03197426	0.02434974	0.005247425	0.01294087	0.06625986	0.06901038	0.0601713	0.006637343	0.0219279	0.06767721	0.01345814	0.01980168	0.006171714	0.04000581	0.02954787	0.03131508	0.01104655	0.006762321	0.03534298	0.08232967	0.01122625	0.04140276	0.002956668	0.01325802	0.1013334	0.09561057	0.01049396	0.227311	0.139081	0.157896	0.0994831	0.225776	0.150454	0.3347849	0.191727	0.220829	0.278588	0.308855	0.503499	0.804779	1.08324	1.60848	1.220699
250	-537.4172	-580.5349	43.1177	2.43646	0.009196294	0.0008233098	0.003390726	0.05300539	0.03758689	0.03279503	0.006028004	0.01465883	0.01271508	0.06376546	0.007102208	0.02559772	0.003981973	0.01345048	0.09345167	0.0332725	0.03118054	0.01752446	0.04028507	0.07369721	0.02251989	0.04140642	0.005441602	0.02012851	0.03111141	0.05698124	0.001369835	0.0060378	0.03788818	0.04630165	0.02247313	0.03199555	0.0012122	0.01648926	0.05571265	0.08004993	0.005443775	0.178873	0.104945	0.221037	0.190156	0.201536	0.103452	0.2299897	0.209018	0.210027	0.225494	0.355461	0.340349	0.694628	1.07787	1.88716	1.056072
260	-542.1725	-579.2502	37.07769	0.7981357	0.04462171	0.0004721352	0.006729349	0.1234121	0.03534654	0.03870118	0.003030499	0.02931939	0.0308292	0.05185449	0.002951786	0.04379848	0.01587975	0.01697082	0.07345873	0.02509299	0.05862676	0.006462073	0.0737009	0.04179858	0.06495416	0.05486047	0.005745249	0.07782611	0.04455227	0.0449778	0.003181107	0.01197576	0.04321498	0.07868247	0.01605417	0.05838435	0.006250596	0.006840888	0.08461101	0.09222264	0.0161809	0.108124	0.207635	0.181969	0.291929	0.145251	0.0650926	0.1328168	0.264212	0.192067	0.211042	0.332679	0.095162	0.406382	0.956437	2.54202	1.433572
270	-544.1373	-582.7159	38.57856	0.6307183	0.01983307	0.000591694	0.05149701	0.0653845	0.06336783	0.07089517	0.002990112	0.04199959	0.04723623	0.0366931	0.003722763	0.01862008	0.06890962	0.02583877	0.04768799	0.0113828	0.03058169	0.004182851	0.06115386	0.06895334	0.03401399	0.04098906	0.01094933	0.03605486	0.06373522	0.06950075	0.003523793	0.009938694	0.00849302	0.1066667	0.01795949	0.0393454	0.004808795	0.003461449	0.06330967	0.07071883	0.01477668	0.0749747	0.15658	0.267641	0.294487	0.112771	0.0935467	0.06375116	0.184279	0.324612	0.179636	0.311473	0.0594992	0.328922	0.896216	2.71536	1.339768
280	-538.9835	-578.8834	39.89991	2.706187	0.009327718	0.0003733997	0.01142202	0.0247592	0.0280382	0.08547271	0.002188316	0.04048117	0.01352612	0.03433028	0.005051254	0.006131282	0.04065264	0.0123593	0.06936274	0.01664934	0.02379999	0.003214874	0.05712552	0.1001817	0.05899268	0.03736081	0.01346364	0.05317165	0.03152859	0.06393205	0.00403641	0.01256225	0.003463434	0.06969963	0.04193215	0.02655359	0.01033052	0.0258288	0.1219307	0.07771771	0.02023138	0.144381	0.108461	0.185392	0.13854	0.180145	0.243081	0.3333032	0.237556	0.259542	0.253865	0.249037	0.365172	0.713843	1.08062	1.84036	1.257184
290	-527.5785	-568.9189	41.34039	1.570823	0.02129869	0.0003492951	0.01396609	0.04422429	0.08771037	0.03996511	0.004000026	0.02031749	0.01487689	0.04776981	0.002502377	0.01576386	0.07786085	0.02611639	0.05265802	0.01042614	0.01818355	0.001694312	0.06830226	0.0463135	0.01782967	0.01471045	0.01685765	0.05655972	0.05357718	0.04018637	0.006246474	0.003072205	0.00791777	0.06790059	0.01674484	0.007612864	0.003487636	0.02286386	0.1470486	0.05429601	0.01594261	0.0943544	0.242175	0.12901	0.194497	0.171107	0.168857	0.2087747	0.276758	0.277704	0.177638	0.2679	0.236059	0.599936	1.05432	2.10968	1.167154
300	-536.8578	-576.5353	39.67751	0.8618861	0.02820614	0.000793027	0.01752368	0.08804866	0.03558374	0.05150906	0.02776121	0.03145919	0.01212403	0.02596262	0.004460661	0.04874406	0.03698293	0.0233063	0.09249125	0.01341542	0.02713243	0.001032096	0.08060115	0.03199051	0.01327323	0.01084984	0.05422815	0.04330205	0.06002253	0.07739808	0.007642822	0.006718435	0.01257393	0.07516287	0.0433086	0.009134398	0.00407446	0.009473894	0.08455648	0.03969442	0.04054132	0.112946	0.179608	0.152649	0.173476	0.160937	0.220383	0.05174343	0.276758	0.277704	0.177638	0.2679	0.108643	0.430906	0.972731	2.48772	1.271084
310	-539.8498	-579.6383	39.78855	1.605603	0.03785301	0.001265946	0.00448217	0.08138977	0.07701958	0.05525092	0.007151585	0.01310585	0.03584343	0.02274854	0.005291166	0.0111869	0.06866147	0.03332907	0.07361857	0.04142353	0.01429538	0.000272294	0.02614042	0.03405491	0.006112456	0.003588372	0.04516986	0.09338441	0.06984942	0.05393251	0.004663608	0.006397509	0.009607333	0.04911931	0.01932301	0.02691377	0.03008594	0.01988806	0.06377349	0.09944785	0.01850237	0.117234	0.243193	0.172796	0.11128	0.150038	0.205459	0.0466333	0.258521	0.322681	0.164823	0.253975	0.241184	0.60524	1.05607	2.09751	1.264144
320	-532.4786	-571.1529	38.67427	1.122118	0.05943438	0.005324075	0.00992785	0.06946658	0.03822451	0.0521309	0.007259419	0.007130625	0.006288439	0.06533563	0.0014716	0.007627651	0.06980822	0.004360109	0.1175242	0.01739159	0.009600814	0.0003429798	0.04496364	0.04615389	0.003537519	0.004249357	0.09723609	0.05859353	0.04465838	0.03337597	0.00239205	0.0141429	0.006887179	0.04679196	0.05892272	0.02447228	0.02894098	0.0455726	0.1223887	0.08007329	0.02178334	0.186239	0.168849	0.133276	0.277805	0.11811	0.11572	0.05224617	0.26509	0.260465	0.165997	0.308448	0.160656	0.510613	1.01762	2.31112	1.333786
330	-530.0256	-573.2119	43.1863	1.257296	0.02400828	0.01124661	0.005476286	0.04649275	0.03156848	0.04565615	0.008681414	0.001562225	0.01138637	0.02316965	0.001578791	0.005827372	0.06756638	0.005649963	0.01951681	0.02471367	0.02730594	0.0002979685	0.02607085	0.07062659	0.009126655	0.0005396542	0.07146162	0.0377282	0.04325994	0.02123495	0.001738899	0.008832457	0.03849358	0.0487973	0.03657222	0.01104157	0.01704776	0.04709801	0.09274196	0.08122275	0.02644405	0.216919	0.0892602	0.12525	0.232542	0.217545	0.118484	0.08252165	0.290851	0.246504	0.221745	0.2409	0.185283	0.542451	1.0323	2.23996	1.051784
340	-533.133	-574.4103	41.27735	3.225392	0.05352627	0.009625834	0.006324884	0.05838908	0.035	0.0637701	0.0130506	0.001430373	0.004597292	0.03494911	0.005562023	0.01144997	0.07216238	0.005979276	0.05289888	0.007998752	0.03951636	0.001186714	0.03741806	0.02727498	0.00205211	0.0005834188	0.05146798	0.03724782	0.02177096	0.04850494	0.002993067	0.006585424	0.02701166	0.1170258	0.05341968	0.005003486	0.01140159	0.04237498	0.1091342	0.0748201	0.01758538	0.105959	0.253047	0.203718	0.198687	0.125205	0.113384	0.1519633	0.290486	0.248941	0.221467	0.239106	0.40598	0.74329	1.08342	1.76731	1.171094
350	-532.9708	-574.7711	41.80032	2.496445	0.05514724	0.003768873	0.02589167	0.03765989	0.03313705	0.05050918	0.0158092	0.001191441	0.004782539	0.03267609	0.002587872	0.004318166	0.01905693	0.005508528	0.0540612	0.006395672	0.02075655	0.00168303	0.084416	0.05964243	0.002543141	0.0015278	0.0251715	0.07260684	0.03610451	0.05086077	0.004180208	0.004207505	0.03794343	0.1560281	0.01859061	0.004847015	0.01638431	0.04237498	0.07321893	0.04260128	0.03021739	0.0705631	0.168516	0.10955	0.300148	0.204048	0.147176	0.3235451	0.2437	0.243553	0.186213	0.326534	0.346119	0.69919	1.07859	1.8761	1.138408
360	-525.4782	-569.0504	43.57222	0.8037553	0.03606901	0.0127874	0.01710126	0.0338071	0.02965464	0.03878015	0.01108654	0.001485594	0.01121719	0.02350109	0.005391681	0.01089817	0.01822888	0.006767683	0.05460039	0.01661215	0.04558773	0.001885093	0.05025264	0.07385649	0.003140031	0.0008468351	0.04829908	0.05582632	0.0280261	0.05713911	0.006407317	0.007675238	0.01486153	0.04233182	0.01526329	0.005446362	0.01126826	0.01594064	0.09544531	0.08823317	0.03194281	0.236847	0.284248	0.142986	0.140633	0.109768	0.0855184	0.1832093	0.168269	0.245053	0.243851	0.342827	0.0963576	0.408642	0.95799	2.53701	1.027664
370	-530.0411	-573.2175	43.17647	2.801657	0.01540501	0.01248417	0.01451703	0.03595678	0.05156094	0.05264034	0.03831988	0.0007073154	0.003269127	0.06548731	0.007156136	0.002936612	0.01516047	0.0160922	0.04248894	0.01517183	0.05153448	0.0008862543	0.0454552	0.02021584	0.004019028	0.0003851855	0.03054716	0.08942143	0.03108918	0.03650156	0.01055792	0.004969113	0.007920932	0.07781469	0.02328904	0.005562148	0.02906931	0.03420437	0.0462354	0.09474405	0.01862259	0.131579	0.346074	0.198237	0.142186	0.124263	0.0576621	0.2210082	0.206965	0.229871	0.235812	0.327352	0.373311	0.719919	1.08134	1.82543	1.052399
380	-538.4982	-577.6436	39.14542	4.841668	0.02858893	0.01007737	0.01776126	0.04440534	0.0661828	0.04050359	0.04120457	0.0007386533	0.004950692	0.05079248	0.0161652	0.01730706	0.04628543	0.01001002	0.09095083	0.03768105	0.02696344	0.0002977606	0.02983705	0.04203385	0.006920937	0.009906181	0.05159446	0.1043266	0.06698672	0.03322177	0.003604073	0.008761527	0.03682012	0.07105001	0.0328768	0.009914774	0.08421089	0.007421404	0.05730354	0.08957095	0.00711143	0.106216	0.230452	0.182156	0.208109	0.146547	0.12652	0.1813889	0.171522	0.286366	0.21512	0.326992	0.495366	0.800065	1.08357	1.621	1.30434
390	-528.9465	-568.2868	39.34025	1.066701	0.02312927	0.0067116	0.03712953	0.05751654	0.05091734	0.03513478	0.02759677	0.0006704447	0.003727055	0.03627518	0.006646073	0.01536098	0.04096929	0.01419315	0.07601284	0.01363316	0.06088546	0.001125469	0.03029527	0.03435043	0.002315883	0.01673415	0.05181567	0.1200996	0.04246149	0.02133737	0.005221174	0.001532722	0.0269675	0.1558101	0.0201366	0.002001983	0.03652944	0.01775168	0.08748279	0.1029197	0.008764107	0.160678	0.156606	0.190551	0.143996	0.215817	0.132351	0.03156487	0.290279	0.237982	0.216469	0.25527	0.150067	0.495922	1.01023	2.34378	1.292163
