Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-2966.645	-3000.991	34.34624	0.02237209	0.02011092	0.02538841	0.05403217	0.003311567	0.1640202	0.1978094	0.00591743	0.02723688	0.06111506	0.02889716	0.04431807	0.0742313	0.01246799	0.006446216	0.02143297	0.08420058	0.0025394	0.02853153	0.03901025	0.01549572	0.04997695	0.08222928	0.01000697	0.02433691	0.003721028	0.1205684	0.09775969	0.03273197	0.11663	0.06134536	0.02212687	0.03741837	0.000763149	0.1076672	0.02271309	0.01931912	0.199252	0.0195786	0.033193	0.0671146	0.599645	0.0812168	0.362264	0.0668929	0.24167	0.329173	1.7482
10	-1808.352	-1824.81	16.45824	0.08048939	0.05907064	0.06786152	0.06628745	0.007002313	0.2615727	0.287935	0.04300352	0.04839132	0.09798451	0.01784317	0.0674342	0.0756796	0.01948187	0.0197221	0.02953319	0.2457579	0.006573587	0.1193455	0.03069817	0.02644544	0.06358385	0.2270152	0.008319311	0.07278091	0.001395769	0.2238483	0.02468384	0.01718327	0.09242761	0.06653943	0.02195537	0.02800737	0.0005194864	0.1788344	0.006258432	0.1547341	0.168435	0.0581765	0.120464	0.147963	0.382539	0.122423	0.366345	0.0384101	0.376816	0.218429	2.8662
20	-1660.93	-1649.76	-11.17017	0.04682291	0.09111183	0.3341341	0.07881822	0.002626342	0.2648261	0.1117038	0.1004997	0.14437	0.1223948	0.01411932	0.05094545	0.1392389	0.01805362	0.04303657	0.08289024	0.4203265	0.02731905	0.1410407	0.03947885	0.01144873	0.1671233	0.2270152	0.01683172	0.06098379	0.001282711	0.5665745	0.03550038	0.02305723	0.07146493	0.0724789	0.1218181	0.08203584	0.001159941	0.3666547	0.02179119	0.4719969	0.207719	0.136204	0.158308	0.246998	0.0997955	0.150975	0.279409	0.0932139	0.367081	0.260296	4.592975
30	-1538.382	-1523.919	-14.46239	0.06678207	0.09398413	0.2429775	0.2165944	0.01084386	0.3060662	0.151638	0.1336586	0.2510892	0.1535266	0.007958723	0.08085365	0.06138995	0.1588993	0.1298665	0.08920728	0.317375	0.02818142	0.110605	0.0397198	0.005021216	0.1443972	0.1539109	0.01705592	0.1333872	0.002361886	0.5678409	0.03744507	0.0218299	0.19809	0.05762175	0.3163667	0.1041625	0.004429012	0.2122477	0.003735816	0.1676178	0.187673	0.136539	0.190497	0.223162	0.128779	0.13335	0.278776	0.0955928	0.325487	0.300144	4.798739
40	-1439.457	-1432.452	-7.004886	0.06333989	0.113134	0.2046222	0.2577345	0.01845356	0.1448108	0.09202242	0.07929364	0.355068	0.06489515	0.01145521	0.1081676	0.1533313	0.09287079	0.2561049	0.04873965	0.3407578	0.04132288	0.1271945	0.02587379	0.004353274	0.07317721	0.06383266	0.01884275	0.1401812	0.0048772	0.41786	0.01759095	0.06758865	0.1980339	0.03860939	0.2123811	0.2537458	0.01926104	0.08258722	0.003447041	0.117083	0.23442	0.179718	0.168363	0.176022	0.0715121	0.169965	0.298707	0.102427	0.329472	0.269393	4.332645
50	-1333.131	-1333.27	0.1389149	0.09528371	0.095868	0.2997577	0.07656198	0.006802887	0.09617123	0.079583	0.08648768	0.1075744	0.03777437	0.009513097	0.03827348	0.1504655	0.1008725	0.324881	0.04400266	0.3678282	0.0265251	0.08229436	0.02270595	0.008598441	0.04607726	0.1283717	0.02804644	0.2039924	0.008438599	0.1391287	0.04268184	0.147977	0.2076876	0.03276661	0.2777147	0.2830581	0.009821686	0.07574735	0.009647539	0.08717469	0.2244	0.154502	0.167717	0.145248	0.162015	0.146118	0.290446	0.105822	0.359215	0.244516	3.886157
60	-1328.898	-1337.793	8.8947	0.07996576	0.08311264	0.1059362	0.03040086	0.02236416	0.07641757	0.0745654	0.03555006	0.08551707	0.0380633	0.03017875	0.0249123	0.09695923	0.0973093	0.1851467	0.02705142	0.3413834	0.03815293	0.04457877	0.02240307	0.008414984	0.1455571	0.03223212	0.0235548	0.180529	0.006658272	0.1292339	0.0616016	0.1683181	0.3324115	0.05891206	0.2587616	0.226216	0.03492705	0.06113559	0.006286044	0.06420229	0.169573	0.187236	0.162238	0.222223	0.144567	0.114162	0.30622	0.0932088	0.342776	0.257796	3.338921
70	-1316.563	-1324.268	7.705086	0.07551934	0.05655952	0.1996141	0.03086856	0.02481977	0.08519489	0.1345565	0.03859505	0.0582419	0.01739645	0.02739598	0.07627239	0.08772485	0.0735717	0.2769292	0.03962964	0.3507473	0.04808051	0.01150604	0.03814851	0.008109351	0.1254187	0.02047951	0.0326965	0.1959401	0.004084972	0.1218128	0.01049331	0.08846468	0.3576354	0.04232306	0.2923343	0.2057429	0.01391756	0.0248211	0.01021539	0.10741	0.187848	0.207414	0.156794	0.191692	0.117546	0.138707	0.283989	0.0991661	0.352064	0.264781	3.413272
80	-1310.265	-1315.431	5.166271	0.06320348	0.1333125	0.2556776	0.02709969	0.02234411	0.07259215	0.1335176	0.09769746	0.02469006	0.02741135	0.01448023	0.09939856	0.1278665	0.1739234	0.2572774	0.03122083	0.328946	0.0191652	0.01070834	0.0189434	0.01639079	0.07805543	0.01184188	0.04077717	0.2141587	0.01452129	0.03506535	0.02975601	0.1010368	0.3644328	0.04723313	0.2876775	0.2511602	0.04576645	0.0217416	0.006662208	0.06619452	0.231395	0.190048	0.175662	0.203296	0.0725058	0.127093	0.271826	0.0966798	0.27682	0.354674	3.571948
90	-1310.146	-1316.559	6.413146	0.05390214	0.07347601	0.2166129	0.02376146	0.03292464	0.1342328	0.1730558	0.03569741	0.04402403	0.01515865	0.00976563	0.09483022	0.1256268	0.09839504	0.2097096	0.03551409	0.3662529	0.01558055	0.02302023	0.02045564	0.07272612	0.1349239	0.0162651	0.03732315	0.1415365	0.01775673	0.0294296	0.006949487	0.07764824	0.4050634	0.01365669	0.2584848	0.2070936	0.08725562	0.04613697	0.01452699	0.1252445	0.277957	0.184995	0.169527	0.196196	0.0486705	0.122655	0.274601	0.088777	0.31094	0.325683	3.494018
