Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3059.925	-3084.39	24.46519	1.306421	0.02503117	0.04162935	0.04186826	0.003697867	0.05215424	0.006659843	0.004371869	0.1283062	0.1671323	0.2173483	0.03713372	0.1637099	0.06346925	0.09606469	0.0426177	0.0503581	0.00352143	0.06578917	0.1551172	0.004468427	0.01229704	0.03811738	0.06308671	0.03868818	0.1102753	0.05256277	0.03663842	0.01054729	0.04875154	0.02710475	0.02325065	0.1249861	0.06195463	0.03933885	0.02050453	0.08382928	0.05947112	0.550267	0.11463	0.0307775	0.153162	0.133265	0.0178985	0.9349704	0.0332097	0.211566	0.463333	0.291891	0.193811	0.552807	1.0367	2.21669	2.221854
10	-1751.56	-1772.864	21.30358	2.092111	0.06124706	0.03508178	0.06880032	0.007879647	0.04023336	0.009436253	0.01031459	0.2267813	0.07741273	0.0744446	0.008473702	0.07676668	0.07210807	0.08063945	0.1045598	0.01789118	0.0217752	0.06288294	0.05766994	0.005750542	0.01029462	0.03219555	0.05394801	0.02581981	0.2110027	0.01893448	0.06180535	0.01549436	0.06382078	0.01682672	0.03107733	0.2269302	0.05874233	0.0186429	0.1350992	0.03511324	0.2835575	0.514943	0.141309	0.134312	0.139573	0.0339438	0.0359188	0.246074	0.157229	0.0305194	0.343991	0.468261	0.304028	0.664464	1.07213	1.95938	2.419454
20	-1571.366	-1583.257	11.89063	8.583533	0.08668543	0.06393596	0.1756223	0.005610007	0.06587336	0.01078051	0.02861755	0.266366	0.03048199	0.02918418	0.008679904	0.06342059	0.1258976	0.1219246	0.1841341	0.02147456	0.02624585	0.03991559	0.05622341	0.00515799	0.01022283	0.01462317	0.07095577	0.03528982	0.2781142	0.02549094	0.04753181	0.008565372	0.1527732	0.00475619	0.05484883	0.2215028	0.07725586	0.02921904	0.09853827	0.01915626	0.4426878	0.313132	0.2036	0.170953	0.116114	0.0715687	0.124631	0.27148	0.218999	0.127952	0.34626	0.306789	0.60551	0.858596	1.07533	1.46056	3.007764
30	-1455.162	-1458.625	3.462401	7.073034	0.1059598	0.05555879	0.1474053	0.007085391	0.1926688	0.04635549	0.06741451	0.08734341	0.04084447	0.09966789	0.002796596	0.08455469	0.1293429	0.07488139	0.2929035	0.03432308	0.02561491	0.03232027	0.06220781	0.004260569	0.004220312	0.009581005	0.08606115	0.02295762	0.2139269	0.03992416	0.1161934	0.009076351	0.1693397	0.01156452	0.14484	0.2224117	0.3103474	0.04755896	0.2452356	0.01076969	0.2770099	0.163693	0.248825	0.181111	0.201321	0.0774105	0.127639	0.02168887	0.25167	0.116634	0.315632	0.316064	0.570527	0.841179	1.07878	1.50951	3.534528
40	-1372.939	-1377.811	4.871854	8.998327	0.07965453	0.0552769	0.2156046	0.005167686	0.03599905	0.0472155	0.1468377	0.0299778	0.04486584	0.1358778	0.001764724	0.1141803	0.1717645	0.1463693	0.2097838	0.01578614	0.0578379	0.0560771	0.05587572	0.01097611	0.01015114	0.02215132	0.03099419	0.02625219	0.06300057	0.06564009	0.03829723	0.01653614	0.04642018	0.01120791	0.3272206	0.1497466	0.359087	0.05129723	0.2849675	0.01243008	0.2941441	0.152324	0.241924	0.224225	0.152177	0.0651063	0.164243	0.02364176	0.273935	0.137194	0.32784	0.26103	0.613686	0.862524	1.07443	1.44936	3.446437
50	-1326.805	-1331.691	4.886267	9.225535	0.1328425	0.06207483	0.200587	0.01550045	0.03071781	0.05974127	0.1249897	0.0451021	0.05758772	0.05872625	0.02187889	0.05982659	0.1429746	0.1514983	0.2027944	0.01469924	0.2692539	0.03039967	0.07416785	0.01191643	0.006319722	0.04489136	0.04509814	0.03177469	0.1090501	0.04672821	0.09142645	0.02390576	0.01978294	0.008815494	0.3478374	0.1163493	0.2045405	0.04159818	0.2459323	0.0240432	0.2701631	0.151716	0.192583	0.226755	0.153894	0.117431	0.157621	0.02364176	0.266224	0.161482	0.318611	0.253682	0.61795	0.864551	1.07394	1.44356	3.445536
60	-1321.714	-1326.485	4.771286	5.171405	0.07580504	0.06527114	0.1742317	0.02355038	0.01832979	0.09376928	0.1306495	0.04034562	0.03343675	0.09682247	0.05334776	0.06167285	0.1416526	0.08547386	0.2899438	0.01746613	0.3216273	0.03299662	0.02331848	0.008601807	0.02351472	0.03066581	0.03254759	0.01881516	0.09236467	0.05188358	0.099959	0.04794882	0.04317524	0.01735335	0.2034464	0.03793986	0.331575	0.06964795	0.2577591	0.02138509	0.2844285	0.277496	0.196748	0.173433	0.134613	0.0929487	0.12476	0.02690536	0.254234	0.15421	0.304261	0.287295	0.509044	0.807954	1.08299	1.60001	3.452723
70	-1332.219	-1335.994	3.774849	4.62411	0.1092047	0.03931	0.1129296	0.007880543	0.03102751	0.0880694	0.1062866	0.05437557	0.02373044	0.04622655	0.05490263	0.1136085	0.1259825	0.03236852	0.2403695	0.03912748	0.259355	0.03955055	0.04104661	0.006307898	0.01771661	0.0427533	0.02902319	0.01918025	0.03220226	0.02924311	0.102797	0.0426871	0.03910715	0.02263588	0.3970594	0.1164698	0.2070597	0.05286682	0.3339595	0.1077208	0.3508579	0.261616	0.192558	0.170824	0.140528	0.11237	0.122104	0.01842899	0.254234	0.15421	0.304261	0.287295	0.485675	0.794358	1.08389	1.63608	3.515
80	-1319.335	-1322.022	2.68699	5.837526	0.04757515	0.08525165	0.1405067	0.01186953	0.02435419	0.07272266	0.1031537	0.04785383	0.01865627	0.0197927	0.021934	0.04294752	0.1265508	0.08007777	0.2708786	0.05907279	0.2614499	0.02755454	0.03724407	0.008784758	0.03170301	0.04077548	0.03275254	0.01663263	0.08146355	0.04494078	0.04889823	0.03943363	0.06238677	0.01780359	0.4228162	0.05482398	0.252803	0.06752212	0.3887448	0.07612343	0.3951363	0.223236	0.189622	0.233793	0.164062	0.0690451	0.120242	0.01842899	0.299742	0.118681	0.290167	0.291409	0.533537	0.821614	1.08162	1.56323	3.582991
90	-1320.284	-1326.366	6.082085	9.763782	0.1047139	0.04213233	0.1040776	0.01343449	0.03203653	0.1138002	0.1187635	0.026284	0.0348716	0.04276963	0.01399419	0.03098203	0.123717	0.08463557	0.2342669	0.0345929	0.2468507	0.01793803	0.02263833	0.003452092	0.06532504	0.02705055	0.01437598	0.03387192	0.09966056	0.03179612	0.1639149	0.03415884	0.05110508	0.0469708	0.258551	0.2227004	0.2389852	0.02198807	0.2691725	0.06048515	0.2847342	0.266188	0.182428	0.158901	0.139154	0.08233	0.170999	0.01842899	0.267087	0.13745	0.335802	0.259661	0.627504	0.869043	1.07282	1.43064	3.370798
