Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3343.207	-3372.736	29.52915	1.410586	0.08420556	0.01321488	0.03603606	0.04482383	0.07545132	0.006329421	0.01371064	0.05199263	0.0753114	0.04128429	0.1239912	0.0223307	0.03964627	0.004926515	0.07837507	0.04075906	0.001346134	0.06362441	0.007689087	0.03019244	0.01597645	0.217898	0.001630774	0.03982065	0.01918837	0.0226573	0.01166334	0.1293382	0.1748049	0.09496828	0.06134276	0.07393935	0.03325077	0.02278467	0.03015988	0.03385557	0.06683568	0.395925	0.144401	0.0206483	0.0330424	0.266741	0.139242	0.3699361	0.787859	0.152897	0.00170788	0.0575368	0.211174	0.572964	1.04471	2.17115	1.905356
10	-2091.603	-2116.871	25.26765	1.156383	0.1255657	0.02867214	0.02798796	0.0953408	0.05785289	0.02056804	0.05715033	0.2979683	0.0881015	0.09903119	0.06627842	0.02978798	0.1276622	0.01757001	0.06847931	0.0185719	0.006661797	0.05037106	0.02597782	0.1061413	0.02335179	0.07704682	0.009196695	0.01225798	0.07714954	0.02135927	0.008024919	0.1395203	0.05335433	0.06642528	0.07645106	0.04645898	0.01783588	0.02052612	0.006240389	0.02093188	0.07982771	0.0947253	0.0929692	0.122534	0.244596	0.139822	0.305353	0.03435325	0.516443	0.194674	0.0114686	0.277414	0.16706	0.51919	1.02175	2.292	2.1717
20	-1683.993	-1706.988	22.99551	2.944095	0.1320389	0.09316937	0.05095832	0.1770186	0.06603515	0.07921921	0.07766678	0.115829	0.06907031	0.06621458	0.07114435	0.1411149	0.03492542	0.01887476	0.02979488	0.05370094	0.008565161	0.02236894	0.01208272	0.07180729	0.02600373	0.04538032	0.00560939	0.02050218	0.2088905	0.03221944	0.0127525	0.05531372	0.02950408	0.06411335	0.09738005	0.1438016	0.07310787	0.02781405	0.01669783	0.01313494	0.04988389	0.0798641	0.169718	0.10331	0.275385	0.117886	0.253838	0.1242541	0.485232	0.189078	0.112549	0.213141	0.38489	0.728385	1.08223	1.8045	2.313709
30	-1640.872	-1651.398	10.52563	1.9763	0.2570852	0.2334178	0.02749953	0.2413847	0.158264	0.1041695	0.09003739	0.2259384	0.07884823	0.0335413	0.06327082	0.1136055	0.08549907	0.02220604	0.02281872	0.02188609	0.02651389	0.03020751	0.01502003	0.07356743	0.01715034	0.1087158	0.03989131	0.07040924	0.1898984	0.0311187	0.003749508	0.05508271	0.01475612	0.02281713	0.1416419	0.2204937	0.1048409	0.1023785	0.01469497	0.02166501	0.0089907	0.0995493	0.172045	0.0887413	0.274243	0.112636	0.252786	0.1242541	0.372873	0.240796	0.140431	0.2459	0.290429	0.65247	1.06939	1.98772	3.093076
40	-1607.207	-1605.165	-2.042068	2.386868	0.2282122	0.1793511	0.1079108	0.2769237	0.211607	0.1676788	0.1426962	0.3712293	0.07866226	0.03426297	0.1105818	0.1386597	0.08474835	0.01026689	0.01294257	0.04698448	0.05824494	0.08749947	0.006617071	0.1072454	0.03929845	0.1294934	0.07782428	0.0393297	0.2141528	0.0672485	0.01056359	0.09056745	0.08505695	0.05453011	0.1086981	0.2008042	0.1746585	0.06179098	0.04088374	0.01267565	0.008655527	0.100526	0.231327	0.112281	0.20501	0.0955913	0.255265	0.08063699	0.254899	0.334047	0.165584	0.245469	0.335462	0.690717	1.07722	1.8966	3.878557
50	-1546.051	-1538.9	-7.151053	3.661625	0.1742322	0.2901123	0.05930306	0.2769237	0.1816564	0.1992404	0.0835239	0.3212545	0.07804772	0.06773516	0.192048	0.2226209	0.02342551	0.009013162	0.01439217	0.01727776	0.07913677	0.0614349	0.01054195	0.1503038	0.05448406	0.05641197	0.09515702	0.03052821	0.1249439	0.1563234	0.01045901	0.1687077	0.05471932	0.04197237	0.1218802	0.2750621	0.3471955	0.05834791	0.02358136	0.05726131	0.008609288	0.0948818	0.243805	0.167147	0.158639	0.16	0.175528	0.008471231	0.270255	0.229777	0.268724	0.231243	0.434749	0.76263	1.08428	1.71834	4.197869
60	-1529.672	-1524.055	-5.616901	4.035531	0.2285257	0.06084336	0.05322326	0.2468589	0.1817084	0.2614207	0.1330517	0.3417398	0.1850566	0.09415594	0.1348852	0.1621432	0.04834078	0.006316363	0.01998452	0.006004817	0.06786598	0.1109388	0.008769796	0.08475964	0.04590181	0.07289442	0.1100209	0.01950411	0.2825565	0.1403312	0.008813616	0.1431192	0.08399438	0.04921034	0.07698205	0.1347416	0.1883193	0.1658101	0.02049276	0.1166912	0.006007489	0.121903	0.235646	0.169479	0.133407	0.161589	0.177977	0.008471231	0.284037	0.247505	0.215684	0.252774	0.456303	0.776429	1.08439	1.68287	4.101984
70	-1518.426	-1515.924	-2.501799	7.149031	0.2938824	0.04654122	0.023991	0.2319101	0.1133439	0.1646372	0.216226	0.1877008	0.1928376	0.09966148	0.157051	0.1519672	0.09740709	0.006690151	0.02344324	0.004494396	0.1076466	0.1050958	0.008494824	0.06666198	0.06276834	0.116696	0.1142608	0.03141734	0.09301626	0.152841	0.0130473	0.1327626	0.06817134	0.05556786	0.05376853	0.2304794	0.2015953	0.07225836	0.0426106	0.1565817	0.009763889	0.134566	0.1999	0.16462	0.147264	0.178373	0.175278	0.004506386	0.265969	0.288958	0.204917	0.240155	0.572519	0.842199	1.07861	1.50668	3.90729
80	-1522.164	-1520.364	-1.799532	3.738827	0.2779888	0.0940286	0.03241777	0.216685	0.1846818	0.09064368	0.1800536	0.3281544	0.09429386	0.01836365	0.1427041	0.1080078	0.05070541	0.009754981	0.03219867	0.0269388	0.1159348	0.04762468	0.00767921	0.1548673	0.119094	0.0678598	0.07359856	0.03067984	0.08484014	0.1941497	0.01091774	0.1044859	0.0886524	0.02885656	0.06622671	0.2345517	0.2974098	0.07408527	0.005168125	0.1574983	0.01159727	0.139139	0.21172	0.176202	0.164869	0.0978235	0.210247	0.004506386	0.26478	0.292137	0.204001	0.239082	0.439413	0.765664	1.08434	1.71058	3.863399
90	-1521.737	-1526.287	4.550339	7.564356	0.1599948	0.05586321	0.04130141	0.3091615	0.08612904	0.1188559	0.1376348	0.1431657	0.09869627	0.0101801	0.186389	0.1783709	0.02734736	0.03267877	0.01298708	0.01131575	0.08015538	0.08223812	0.0143391	0.120041	0.1259702	0.09287943	0.05102229	0.0750004	0.09355908	0.1315423	0.01887271	0.1059341	0.0730055	0.06076535	0.05912837	0.2507068	0.1884348	0.0622641	0.005782156	0.1342823	0.03053672	0.137663	0.209475	0.174334	0.126199	0.144312	0.208017	0.004692227	0.27595	0.332414	0.181726	0.209909	0.582929	0.84747	1.07764	1.49196	3.466532
100	-1520.724	-1520.542	-0.1820558	4.631177	0.2281469	0.1157384	0.05080691	0.1902258	0.1572983	0.1872761	0.1503656	0.1661762	0.04104053	0.07711063	0.104177	0.1672444	0.01438218	0.01325114	0.009867607	0.03207822	0.102322	0.07384565	0.01974868	0.1614374	0.1578569	0.1196639	0.114304	0.1609314	0.1245519	0.0825941	0.03839656	0.1181235	0.07760971	0.04289666	0.08425444	0.1634642	0.184231	0.04200953	0.002899349	0.09122861	0.09475108	0.116476	0.20728	0.159315	0.14706	0.142157	0.227711	0.01235859	0.309125	0.243587	0.203574	0.243715	0.485999	0.79455	1.08388	1.63557	3.762307
110	-1513.964	-1517.26	3.296431	6.997749	0.1836686	0.07065726	0.02139416	0.2071626	0.07087493	0.1776791	0.08532411	0.1598335	0.07956876	0.0819024	0.06311438	0.176656	0.02670923	0.03924955	0.01439727	0.0221874	0.07028164	0.0571527	0.009541647	0.1342953	0.07242632	0.1053737	0.1060294	0.1367296	0.1393376	0.1611498	0.03395353	0.04124113	0.06787788	0.05391987	0.07789284	0.2638836	0.2466043	0.1288826	0.006573398	0.1282024	0.02317273	0.13833	0.203781	0.156625	0.188677	0.139757	0.172829	0.01755536	0.294537	0.248311	0.208984	0.248167	0.568525	0.840151	1.07896	1.51236	3.544901
