Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-2704.964	-2725.083	20.11992	0.07848377	0.0003279754	0.3556022	0.03608115	0.06957274	0.004925096	0.01236246	0.1349313	0.04049981	0.1298993	0.08430525	0.08303465	0.07805756	0.1633469	0.01741107	0.06829178	0.04829229	0.1008203	0.08533156	0.04435156	0.01139618	0.06591953	0.02601002	0.03287489	0.01437684	0.05397856	0.03372292	0.05374605	0.03450903	0.0522558	0.06908501	0.1111678	0.1399306	0.03010654	0.01145591	0.1020174	0.1588629	0.0872711	0.0610544	0.260263	0.54037	0.0184048	0.0326369	0.214535	0.0219469	0.554382	0.209136	2.637345
10	-1696.795	-1686.315	-10.48007	0.2306196	0.0004828052	0.3013456	0.08553484	0.1294049	0.02116014	0.02881079	0.4787264	0.08910396	0.2477133	0.111582	0.1235103	0.1427295	0.05767417	0.0629125	0.1292107	0.199834	0.05794993	0.06693526	0.0586386	0.02342785	0.08812268	0.04850531	0.06564207	0.04427648	0.1258168	0.188375	0.1362835	0.1042813	0.1457387	0.1173497	0.09981516	0.2502686	0.02116571	0.0176555	0.1442237	0.3050164	0.301981	0.130375	0.249738	0.108539	0.115101	0.0942653	0.224652	0.240353	0.315996	0.218999	4.549844
20	-1518.175	-1509.748	-8.426934	0.2850698	0.0006497542	0.05874562	0.2316198	0.199049	0.1609006	0.09448863	0.2534258	0.1845341	0.1711173	0.1185373	0.1428244	0.1099856	0.009557762	0.04594193	0.1247354	0.1170121	0.08182573	0.05767136	0.2099629	0.007862497	0.05010607	0.04609103	0.1007856	0.03393233	0.0434098	0.1301908	0.07939676	0.2066797	0.2972236	0.1399611	0.1596208	0.1880713	0.1016289	0.02216823	0.06777707	0.08896278	0.163738	0.168502	0.141213	0.153888	0.242806	0.129852	0.230702	0.219896	0.324505	0.224897	4.421523
30	-1502.102	-1483.955	-18.14676	0.187904	0.001362454	0.02666162	0.5479551	0.2688711	0.2128822	0.2363792	0.2413366	0.1433153	0.05954867	0.141111	0.1251848	0.08380291	0.009717698	0.04137424	0.05838986	0.07713868	0.08169236	0.01560437	0.1945027	0.04132207	0.09092255	0.08492641	0.1656119	0.1006466	0.07403148	0.402227	0.1343173	0.2863207	0.2243262	0.1151334	0.05677087	0.1040541	0.1314888	0.03813204	0.09513838	0.1289077	0.115534	0.217695	0.182439	0.14313	0.157783	0.183419	0.238175	0.250139	0.255858	0.255828	5.029012
40	-1487.082	-1474.315	-12.76754	0.2677289	0.0006984786	0.03171899	0.3077046	0.2325899	0.2870072	0.1659595	0.2340887	0.1363856	0.02851697	0.1784556	0.2272234	0.05759889	0.01225623	0.01473028	0.04428037	0.1141501	0.09254504	0.02298575	0.1735078	0.1045077	0.06932511	0.1109902	0.0779971	0.06355815	0.018865	0.2341263	0.06867447	0.2781103	0.2642084	0.09019655	0.07334481	0.1583643	0.1040188	0.1229224	0.1305921	0.09287691	0.135212	0.203073	0.213733	0.123961	0.187275	0.136747	0.228674	0.280051	0.245652	0.245623	4.692811
50	-1494.39	-1468.675	-25.71517	0.3499434	0.002957531	0.04009724	0.3823675	0.2808238	0.3224975	0.2412364	0.3394022	0.1401188	0.03358812	0.1387336	0.1190478	0.07454625	0.01105999	0.02582485	0.06577043	0.1143337	0.07996981	0.042289	0.2228931	0.07148417	0.08339858	0.09288307	0.1410011	0.0633612	0.02217001	0.3721512	0.08597588	0.2559787	0.2454758	0.1312984	0.1143438	0.237258	0.1717813	0.1344135	0.05988613	0.1916755	0.219306	0.142426	0.18565	0.149469	0.145625	0.157524	0.256827	0.248932	0.249559	0.244682	5.502038
60	-1488.055	-1469.951	-18.10398	0.1619962	0.00566845	0.0238433	0.3030052	0.3000534	0.2128106	0.2717602	0.2911434	0.1332915	0.08309299	0.1459047	0.09007091	0.07443422	0.0180738	0.01538632	0.0446681	0.1070093	0.09794684	0.03168869	0.2222264	0.05649232	0.08715832	0.1699123	0.09828116	0.02979348	0.01233282	0.3296716	0.120568	0.2963183	0.3094293	0.08066485	0.07137657	0.266766	0.1116183	0.1469961	0.06162795	0.1432566	0.16805	0.194311	0.180766	0.138136	0.171148	0.147588	0.267836	0.259602	0.235099	0.237463	5.026339
70	-1496.8	-1479.465	-17.33421	0.1298845	0.01018547	0.06763739	0.2680581	0.1582774	0.3117955	0.2345273	0.2662072	0.133893	0.240337	0.2642453	0.1797066	0.1418465	0.01188751	0.0169186	0.03323637	0.1264462	0.05684477	0.02447256	0.1751914	0.05823973	0.1716649	0.1044494	0.1182664	0.02040558	0.01233174	0.2632996	0.08331103	0.1556055	0.340407	0.0839252	0.1422036	0.1297054	0.07215705	0.1393328	0.1105502	0.1207736	0.170951	0.208851	0.183887	0.162908	0.123267	0.150136	0.282857	0.288801	0.214469	0.213874	4.978228
80	-1495.347	-1482.682	-12.66488	0.1298845	0.01987003	0.04942167	0.310518	0.1976045	0.1905461	0.2965546	0.2919127	0.1847166	0.1081471	0.09900302	0.191323	0.08611635	0.02083482	0.01205467	0.1216859	0.09441329	0.1280091	0.006547572	0.1472448	0.06234928	0.08848009	0.1648483	0.1068771	0.01103209	0.01823372	0.2892042	0.03761648	0.2172463	0.2816082	0.0312394	0.1927507	0.1592974	0.104033	0.1750673	0.03563233	0.0244707	0.136093	0.198945	0.2292	0.123605	0.167593	0.144563	0.256711	0.262105	0.28708	0.194104	4.686395
90	-1492.758	-1481.425	-11.33371	0.2449062	0.03468763	0.08730208	0.3523266	0.1181735	0.2134546	0.1711851	0.4050941	0.09398976	0.08571739	0.3033447	0.119441	0.1220235	0.0357454	0.05883168	0.03361809	0.05001878	0.1235114	0.001570372	0.1385733	0.04025265	0.1771374	0.04779902	0.07342607	0.01250582	0.007257501	0.1807034	0.04892909	0.2053191	0.4064822	0.0850882	0.1009565	0.1764343	0.1171275	0.1001782	0.01607726	0.01400702	0.129262	0.180121	0.217696	0.159444	0.157276	0.156202	0.234996	0.253481	0.262796	0.248726	4.603196
100	-1487.001	-1470.544	-16.457	0.2597644	0.08133661	0.06086818	0.2749828	0.09947993	0.2330247	0.1976707	0.3522799	0.1623271	0.1281542	0.1911517	0.1494905	0.1187366	0.03563778	0.01117035	0.02267274	0.04716743	0.2218178	0.0009721032	0.2179217	0.1060809	0.2047352	0.1082312	0.1159453	0.07039222	0.006273821	0.2652364	0.02784761	0.1568675	0.3032843	0.1006992	0.05817888	0.1495068	0.1648734	0.1765715	0.02451434	0.01753674	0.158101	0.241037	0.175658	0.122629	0.13705	0.165524	0.225949	0.335418	0.199483	0.23915	4.923402
110	-1489.955	-1480.164	-9.791819	0.2535451	0.1108931	0.05600745	0.2368892	0.1384877	0.2331467	0.1894117	0.1807043	0.3215979	0.07031895	0.1066446	0.1959093	0.09624345	0.02127233	0.02211089	0.01661626	0.06733401	0.04539585	0.0009577993	0.2142515	0.06893151	0.2211518	0.1143323	0.09189818	0.05555475	0.003688158	0.3893429	0.04476605	0.0497189	0.2550669	0.0582279	0.06646666	0.1441388	0.1217048	0.1434263	0.06999663	0.03067757	0.196879	0.223479	0.164265	0.11477	0.139875	0.160732	0.230041	0.295592	0.212891	0.261476	4.506828
120	-1485.376	-1474.77	-10.60548	0.2211907	0.1750148	0.1401881	0.245497	0.1961962	0.2180141	0.1191622	0.2903141	0.2145273	0.07478082	0.1463293	0.1309598	0.1493459	0.01671105	0.01789184	0.06897603	0.1105244	0.04259781	0.000240983	0.1427549	0.0459449	0.1596843	0.03763539	0.09902931	0.06084385	0.03223053	0.2246646	0.05891607	0.04613466	0.3390239	0.05215411	0.1469043	0.1378584	0.09223031	0.1465954	0.06928211	0.08733298	0.180767	0.20519	0.139894	0.198144	0.128428	0.147578	0.267539	0.266288	0.188819	0.277354	4.557682
130	-1479.458	-1466.63	-12.82738	0.2715141	0.08462846	0.05282632	0.3223516	0.153713	0.1750213	0.2090656	0.3391422	0.110188	0.05678122	0.1567961	0.14346	0.05830445	0.02125844	0.04807495	0.05923129	0.1882747	0.07681307	0.0002488547	0.1948909	0.052562	0.1477126	0.061228	0.1136392	0.06846347	0.01238063	0.1868146	0.1362839	0.1503693	0.308262	0.08589157	0.1402069	0.2003501	0.07564528	0.06721963	0.07244957	0.09448726	0.120991	0.207063	0.143002	0.213356	0.157281	0.158306	0.269099	0.245113	0.188709	0.297078	4.696551
