Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-2577.669	-2597.194	19.52506	0.2273446	0.02368659	0.04554485	0.05784705	0.2478073	0.1118611	0.02388626	0.04148059	0.1041784	0.02000847	0.03261954	0.02298258	0.05368476	0.01260313	0.05221893	0.02761117	0.1263909	0.03740628	0.09163892	0.01466822	0.00809016	0.06528624	0.02961986	0.1380287	0.102786	0.01658902	0.5556981	0.01556895	0.1006807	0.06080571	0.009091881	0.01936194	0.01397311	0.0009378696	0.1326957	0.01100553	0.01883464	0.127951	0.0299162	0.459397	0.094812	0.157018	0.130905	0.46104	0.083476	0.350749	0.104735	2.674524
10	-1725.418	-1727.674	2.255871	0.1443203	0.03701919	0.1766012	0.03089136	0.2582389	0.1774223	0.03560835	0.1867366	0.2000843	0.1087194	0.06050857	0.1104124	0.06980458	0.02066722	0.1741729	0.1138395	0.2113044	0.01795672	0.06062873	0.02835759	0.03563229	0.03641277	0.1149071	0.1571566	0.1507785	0.02873583	0.3175475	0.0795993	0.1596267	0.08695808	0.04880777	0.03174812	0.01250941	0.002084166	0.2186493	0.01874295	0.03065663	0.148461	0.0847619	0.235331	0.0888278	0.316489	0.126129	0.222491	0.118495	0.342481	0.316532	3.753848
20	-1612.522	-1598.402	-14.12052	0.1060589	0.06938259	0.1176488	0.04281919	0.3836459	0.221427	0.06117148	0.3676051	0.253549	0.08420588	0.03773061	0.2144066	0.07439942	0.1215154	0.1717656	0.5717189	0.09557631	0.06502211	0.02626438	0.04779423	0.04391029	0.0529972	0.270168	0.1509625	0.09981562	0.05509728	0.1075187	0.1862209	0.07887301	0.1976775	0.04022134	0.008984184	0.02492444	0.001903086	0.2478744	0.04572992	0.03078622	0.0941742	0.109251	0.228348	0.09851	0.335793	0.133924	0.21363	0.119845	0.346385	0.32014	4.777372
30	-1567.749	-1557.96	-9.788692	0.1060323	0.07342471	0.08691919	0.05889077	0.3215629	0.1635056	0.04809819	0.330059	0.1664988	0.1401807	0.04270229	0.3285446	0.05096228	0.1273015	0.1439763	0.729689	0.06696916	0.05240112	0.0131163	0.04304256	0.2000853	0.0422102	0.1775483	0.1885137	0.06983979	0.02584378	0.03527439	0.2555044	0.04124474	0.1321773	0.04038865	0.01785803	0.03864799	0.002554788	0.07274505	0.02863659	0.04368284	0.0812706	0.128857	0.193544	0.152143	0.304903	0.139283	0.233575	0.131034	0.294376	0.341015	4.506633
40	-1511.566	-1506.846	-4.7191	0.03514972	0.04717751	0.0906436	0.02391853	0.3198229	0.1454049	0.02494737	0.2006816	0.1568151	0.1325079	0.03485409	0.2318813	0.1293602	0.1312552	0.1242539	0.3891991	0.04173894	0.07894856	0.025252	0.02780658	0.1616657	0.04121078	0.1952544	0.3174418	0.09314078	0.1160706	0.03973855	0.3187584	0.02069985	0.0603203	0.06696763	0.02724192	0.01510625	0.00199738	0.1302083	0.1313766	0.06096515	0.0822287	0.175609	0.158319	0.140414	0.281397	0.162032	0.247804	0.139016	0.251391	0.361789	4.189783
50	-1489.997	-1483.24	-6.756702	0.03847603	0.03799677	0.05634851	0.03005461	0.320035	0.1471246	0.06625953	0.2162374	0.1585078	0.03501852	0.01437601	0.2883421	0.06812977	0.1949269	0.1567599	0.2010749	0.1509804	0.101936	0.07847978	0.01438211	0.1086926	0.02631277	0.2106909	0.2278299	0.07671822	0.2153551	0.1676732	0.3103309	0.01400345	0.08058242	0.04467523	0.01020876	0.01315627	0.01648738	0.1514484	0.2506461	0.01687536	0.0824486	0.188438	0.158742	0.146587	0.28215	0.141635	0.206859	0.120337	0.289827	0.382977	4.317133
60	-1472.169	-1470.623	-1.54572	0.05960365	0.04926341	0.1098805	0.02046525	0.1038242	0.2009452	0.06245594	0.2457099	0.1202539	0.1215176	0.01060192	0.3478131	0.06046991	0.1153924	0.1598984	0.1130597	0.08927356	0.07607844	0.08975814	0.02278973	0.1712477	0.02653024	0.2277893	0.1813239	0.05259299	0.128346	0.2325179	0.2537788	0.04761529	0.05483733	0.1166406	0.01666204	0.007093426	0.02992474	0.113492	0.1403164	0.01168344	0.04981	0.199668	0.149339	0.149103	0.260002	0.192077	0.254945	0.133878	0.24118	0.369997	3.991447
70	-1467.321	-1465.135	-2.185507	0.07642764	0.03674195	0.1739254	0.04627238	0.1395677	0.2149639	0.06010311	0.2651973	0.1833963	0.09209611	0.004509676	0.2847316	0.1045051	0.1578103	0.1843503	0.06040233	0.1040509	0.1138958	0.01659251	0.01589141	0.07335163	0.06428389	0.1908758	0.1760012	0.09402041	0.2298442	0.2483535	0.220968	0.05428101	0.03242106	0.06916496	0.02384005	0.00742331	0.03351226	0.1037055	0.05511455	0.01884075	0.0571961	0.186981	0.141164	0.139629	0.295157	0.179872	0.257495	0.125217	0.243592	0.373697	4.031434
80	-1468.97	-1465.442	-3.527734	0.01989582	0.06286376	0.1349579	0.04813432	0.1806185	0.1997186	0.04016841	0.2228024	0.1458017	0.06813889	0.00479548	0.2396396	0.135033	0.1068232	0.2070061	0.1061533	0.04595861	0.1222829	0.05084302	0.01839283	0.1464442	0.1090924	0.2271612	0.2145913	0.05443045	0.1926587	0.2819188	0.3292451	0.01278593	0.0877076	0.01510079	0.04312638	0.01096393	0.02040446	0.1160971	0.04470752	0.04885894	0.10838	0.176464	0.133224	0.122361	0.300206	0.159365	0.231235	0.131404	0.245199	0.392162	4.115323
90	-1461.136	-1461.153	0.01734942	0.03302069	0.04498083	0.1007756	0.02186755	0.1520215	0.1621028	0.03176666	0.1737974	0.1912782	0.08854433	0.003512972	0.2749545	0.07897752	0.1361257	0.1330077	0.07952778	0.07757211	0.1351677	0.01594528	0.01352404	0.1426926	0.072699	0.1750778	0.2093122	0.04526358	0.135116	0.2873452	0.2659274	0.02110974	0.08773104	0.03807591	0.07371096	0.007678708	0.07373277	0.1604385	0.0294066	0.1199665	0.0864273	0.179722	0.146881	0.158042	0.274061	0.154866	0.232419	0.149642	0.27011	0.347829	3.893755
100	-1464.25	-1466.25	1.999982	0.05258908	0.02357968	0.1661132	0.01104938	0.1052395	0.140512	0.01911819	0.2638011	0.1466602	0.05380465	0.008093069	0.2871377	0.07203428	0.1278131	0.1558099	0.02751164	0.07697539	0.12435	0.01380459	0.02625782	0.1482048	0.07932573	0.2214703	0.1278857	0.04914572	0.1230091	0.2736284	0.303024	0.02396497	0.07121501	0.04594698	0.1012086	0.01247919	0.0818444	0.06295383	0.05439839	0.08788117	0.09742	0.194963	0.165563	0.0976808	0.308919	0.135454	0.205868	0.135291	0.263091	0.39575	3.769841
110	-1468.233	-1474.301	6.0684	0.01336543	0.05032284	0.1823868	0.007755155	0.1560349	0.1947015	0.0772385	0.2304981	0.1184035	0.02780135	0.01127063	0.1772058	0.09397627	0.2051734	0.1221753	0.01294701	0.1066138	0.06843794	0.003595158	0.01939876	0.1676636	0.06553036	0.1209177	0.1325223	0.05339185	0.1015433	0.2995221	0.1823276	0.01688007	0.06849385	0.01223039	0.083105	0.006305594	0.08819133	0.09090574	0.08666716	0.06006448	0.134367	0.184599	0.156762	0.113759	0.292498	0.118015	0.196892	0.109337	0.323366	0.370404	3.515565
120	-1481.704	-1481.676	-0.02892909	0.04541965	0.03965355	0.05608861	0.0105598	0.1080668	0.2193957	0.07185016	0.1415179	0.156879	0.02527381	0.008182633	0.173743	0.06131407	0.08621548	0.2359024	0.06418341	0.09851631	0.07380547	0.003472047	0.0106269	0.1781268	0.06886104	0.1082946	0.1363382	0.1240864	0.255817	0.3922318	0.2117418	0.03175449	0.05644725	0.01723496	0.09128093	0.01157072	0.0783266	0.2652166	0.04506165	0.1335902	0.144794	0.154279	0.168928	0.0896261	0.315198	0.127174	0.179559	0.111697	0.330345	0.378398	3.896648
130	-1470.081	-1471.925	1.843829	0.0203801	0.01553082	0.1242749	0.04294898	0.09125671	0.2274835	0.02693274	0.207908	0.1152821	0.01878275	0.02659074	0.2642082	0.1001962	0.06732154	0.1993822	0.02122821	0.06602298	0.1166729	0.002564411	0.01450045	0.1409466	0.1411421	0.09796344	0.161679	0.1034721	0.09866006	0.3357623	0.2851837	0.004568399	0.09239848	0.03963758	0.1064529	0.03503985	0.07275317	0.0637406	0.044753	0.1859787	0.149728	0.149461	0.194016	0.157826	0.252294	0.0966752	0.185152	0.115176	0.309486	0.390185	3.7796
140	-1470.042	-1471.349	1.306433	0.03824274	0.02506837	0.1672935	0.04783196	0.1417056	0.1615221	0.02667251	0.2526552	0.09359397	0.03638698	0.01052751	0.3111428	0.06263587	0.1789271	0.1406941	0.0612004	0.03928268	0.03705132	0.001649908	0.01258768	0.2011634	0.1047708	0.1883171	0.1021891	0.1441844	0.07212994	0.2963449	0.3018778	0.005076375	0.06757682	0.02959385	0.1428905	0.02716477	0.08944004	0.08772405	0.03258732	0.07348411	0.0827416	0.162267	0.21064	0.171348	0.273911	0.0990929	0.218265	0.106928	0.298488	0.376319	3.813188
150	-1469.039	-1468.106	-0.932922	0.04690175	0.05562796	0.1921392	0.03552068	0.0370988	0.2359259	0.03676834	0.2930735	0.1409667	0.08812597	0.0101498	0.2887779	0.04667074	0.0993255	0.2113801	0.09784634	0.09576241	0.1317365	0.003127665	0.01966917	0.1208475	0.1068696	0.1939414	0.1218712	0.1776867	0.08425229	0.2218709	0.2051631	0.009911795	0.06465056	0.01638385	0.1075154	0.01492048	0.1150966	0.08162547	0.08162301	0.06232231	0.084863	0.179751	0.12595	0.141888	0.300843	0.166705	0.283106	0.125046	0.25408	0.337767	3.953147
160	-1467.348	-1465.67	-1.678441	0.03442	0.03611724	0.09860812	0.03596994	0.04783755	0.254785	0.03332984	0.285009	0.1956542	0.07786471	0.01118515	0.4155616	0.03077074	0.08468943	0.2233173	0.08837308	0.05136979	0.07012702	0.003285882	0.05327954	0.1451476	0.08584549	0.1305943	0.1707619	0.07257046	0.1369924	0.2150188	0.2829667	0.02453655	0.0858095	0.03003981	0.05486601	0.02053518	0.1628829	0.1328854	0.07420333	0.04253066	0.0629185	0.15369	0.149535	0.142135	0.334207	0.157515	0.285178	0.126246	0.255939	0.332637	3.999742
170	-1461.117	-1462.65	1.533563	0.06283146	0.01168803	0.1326394	0.02631862	0.1809342	0.1734786	0.03584791	0.2051336	0.181312	0.08279693	0.005807305	0.290102	0.07738602	0.1170543	0.1994448	0.06726599	0.05949266	0.07591377	0.003146151	0.01621283	0.1069297	0.108325	0.1034717	0.1906694	0.1179695	0.1417017	0.166959	0.2279636	0.02664219	0.1105003	0.0417164	0.084691	0.0126676	0.113646	0.1026818	0.06778457	0.06986596	0.0733821	0.178777	0.14507	0.125734	0.324226	0.152811	0.232581	0.135535	0.274771	0.357112	3.798992
180	-1466.762	-1465.669	-1.09266	0.0362554	0.007638273	0.151529	0.03754899	0.06133817	0.1463414	0.02816056	0.2218147	0.1415643	0.06961018	0.005431012	0.1860017	0.1366452	0.1339573	0.1241129	0.1357842	0.00720987	0.1136416	0.003727293	0.03035466	0.1261526	0.06988659	0.2398712	0.2191901	0.05623747	0.2038278	0.234749	0.2570745	0.009018622	0.1006063	0.03422849	0.1281041	0.00563414	0.1260399	0.1524172	0.1109893	0.1104367	0.138807	0.170513	0.180836	0.150253	0.22645	0.13314	0.232581	0.135535	0.274771	0.357112	3.963131
190	-1467.992	-1463.381	-4.611014	0.02987391	0.005492927	0.1475856	0.02777635	0.1056684	0.3491088	0.01037485	0.239849	0.1767934	0.04172002	0.0166746	0.3211497	0.1159262	0.1101127	0.1673907	0.08950507	0.006082634	0.03897711	0.00658075	0.03020433	0.2179509	0.1046464	0.2118615	0.1581807	0.1702542	0.2034088	0.2831426	0.2094489	0.006006282	0.08949824	0.0423709	0.12914	0.008938978	0.06729594	0.08375819	0.07323659	0.08704175	0.0871074	0.160424	0.188579	0.156687	0.268363	0.138841	0.206662	0.143897	0.259758	0.389683	4.183028
200	-1469.34	-1467.479	-1.860652	0.03977348	0.005066371	0.1241558	0.01532361	0.201108	0.1316305	0.02772756	0.2377586	0.2251116	0.05388043	0.02437205	0.2606074	0.08839475	0.07317549	0.2411954	0.01765416	0.04353343	0.05026969	0.007220132	0.03603463	0.1319031	0.09284773	0.2739225	0.191192	0.07042189	0.1687934	0.2752228	0.3094296	0.002966347	0.0957589	0.02848465	0.1196562	0.02495759	0.07260163	0.08075578	0.03302979	0.1351934	0.144438	0.144416	0.174496	0.191949	0.221635	0.123066	0.213568	0.163781	0.249043	0.373609	4.01113
210	-1469.126	-1470.292	1.165777	0.02096813	0.007561158	0.1693214	0.0222353	0.1284758	0.1060696	0.01602622	0.3117162	0.1300982	0.07372517	0.02294622	0.4350817	0.04804976	0.1031457	0.158426	0.01538044	0.04589529	0.04559931	0.01756614	0.02056129	0.120674	0.04406247	0.1973974	0.27266	0.06034862	0.1883009	0.2723969	0.3131835	0.03092774	0.06625328	0.02619794	0.08698472	0.03911829	0.05925346	0.06455991	0.008960821	0.07184932	0.0801423	0.162315	0.196123	0.145731	0.249103	0.166587	0.229025	0.156785	0.279106	0.335084	3.821979
