Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-1471.14	-1489.132	17.99251	3.895465	0.07072481	0.09161936	0.04449451	0.02752505	0.2952116	0.05451687	0.2060647	0.08455778	0.02980875	0.2524414	0.03357366	0.1051142	0.01603863	0.02950498	0.02097884	0.07934759	0.01256516	0.023293	0.07342368	0.07616025	0.1304006	0.1856001	0.03542612	0.002151882	0.06139413	0.06270616	0.04704369	0.009528466	0.01798012	0.01066364	0.01120806	0.09026133	0.000296022	0.03218386	0.1397144	0.09825149	0.06462163	0.307886	0.0749493	0.235254	0.0377941	0.12723	0.216886	0.164871	0.0621716	0.618169	0.246819	0.0728399	0.448526	0.771515	1.0844	1.69556	2.626396
10	-1133.288	-1154.753	21.46492	1.127623	0.07871197	0.09125535	0.04300111	0.03556984	0.1278492	0.09487067	0.02035722	0.09900138	0.05489968	0.2032596	0.1957081	0.03692696	0.06983544	0.05435072	0.007807397	0.1680578	0.03084162	0.09004061	0.152841	0.05329973	0.058417	0.05481204	0.02910047	0.0008752547	0.03227147	0.02135632	0.04335381	0.01437112	0.01997642	0.0109642	0.02864041	0.1762295	0.001063205	0.02638031	0.08728969	0.05064916	0.04513477	0.252678	0.0669431	0.307831	0.0395569	0.0383671	0.294624	0.1005201	0.149893	0.458447	0.284494	0.107165	0.161692	0.512016	1.0183	2.30799	2.40937
20	-967.8867	-989.9547	22.06797	3.305577	0.04291193	0.06694611	0.08277568	0.02677951	0.06963847	0.07095794	0.01678052	0.06156745	0.0863047	0.1453774	0.2091755	0.1080871	0.1660627	0.05198282	0.006535569	0.1119897	0.08517533	0.05631385	0.1020279	0.04922352	0.0646321	0.01600245	0.03047378	0.001348212	0.01482158	0.03770404	0.06671875	0.01284903	0.02069803	0.001403159	0.02214706	0.1398399	0.009429981	0.02381112	0.1354614	0.01494972	0.1427758	0.315888	0.178244	0.118662	0.0516858	0.0603991	0.275121	0.1334053	0.252076	0.195013	0.305904	0.247008	0.411602	0.747157	1.08366	1.75758	2.37168
30	-942.7767	-965.5857	22.80898	2.085097	0.05613179	0.02762151	0.2043508	0.06057318	0.01764926	0.03807801	0.08484694	0.06150699	0.06938009	0.06600052	0.1870948	0.09128795	0.1791438	0.04054849	0.006525574	0.0465559	0.05381766	0.02793193	0.1342639	0.05121522	0.058925	0.01011496	0.06619166	0.001995711	0.01623969	0.02871128	0.09308163	0.05061765	0.009297585	0.0007779856	0.01947207	0.1627187	0.0242842	0.03684916	0.05605933	0.01762904	0.1678769	0.331563	0.154913	0.12455	0.0631809	0.0370202	0.288773	0.1216603	0.23913	0.298689	0.176477	0.285704	0.303226	0.663768	1.07198	1.96103	2.325367
40	-913.3814	-940.3281	26.94663	1.866283	0.09091552	0.02116163	0.1384406	0.03310293	0.01407356	0.02315044	0.05190289	0.0349122	0.07137208	0.04324319	0.1376884	0.04089978	0.1703867	0.06225535	0.04067658	0.1106954	0.02606642	0.02956931	0.2104548	0.03977215	0.01258397	0.01257745	0.04237545	0.00312174	0.01818432	0.008140839	0.03694248	0.02416538	0.002264038	0.001041034	0.02563745	0.1683774	0.05023897	0.01996921	0.08557025	0.01667146	0.148162	0.255704	0.155824	0.17879	0.0900987	0.0272869	0.292297	0.1216603	0.294877	0.248547	0.158193	0.298383	0.276773	0.639997	1.06625	2.01698	2.066763
50	-892.1792	-923.2369	31.05775	2.993011	0.04478471	0.02187417	0.1386425	0.01808299	0.01233821	0.006988724	0.04213735	0.05789704	0.05511763	0.02430788	0.1659301	0.0365591	0.1710473	0.07800433	0.03383032	0.03012286	0.01192949	0.01093922	0.116724	0.02056309	0.008186452	0.01077534	0.07043196	0.01891559	0.02667045	0.02158271	0.02173135	0.009516026	0.001229154	0.00491004	0.02082909	0.1434537	0.1468671	0.01554933	0.08567152	0.02119196	0.08448611	0.250365	0.211616	0.120834	0.123343	0.0456113	0.248231	0.1678318	0.301345	0.270123	0.15546	0.273071	0.388721	0.73114	1.08248	1.79766	1.809819
60	-882.333	-914.233	31.9	5.069221	0.05666133	0.01083667	0.09365614	0.006123087	0.02544623	0.012138	0.06660959	0.03319044	0.05358947	0.01679105	0.1974227	0.04063632	0.1205578	0.02253229	0.03380166	0.01816082	0.01583699	0.007602189	0.09041354	0.03195029	0.02261897	0.01039422	0.03867561	0.05848185	0.06401095	0.01359313	0.04705388	0.04342066	0.002317258	0.003440831	0.0434204	0.172334	0.1296679	0.02955767	0.04813622	0.02249351	0.05360432	0.219548	0.202486	0.172075	0.0961761	0.0489235	0.260791	0.09456577	0.26725	0.266414	0.204629	0.261706	0.504927	0.8056	1.08318	1.60629	1.757178
70	-882.6684	-909.8839	27.21557	8.869822	0.0635574	0.01756533	0.1047301	0.008199696	0.02650621	0.01759419	0.01587454	0.02459826	0.05812087	0.007563419	0.2600968	0.08685807	0.09705724	0.0237047	0.02806939	0.02689252	0.01214878	0.05196928	0.1258985	0.1234689	0.02585547	0.03262151	0.04618664	0.06083555	0.03250941	0.004704377	0.02844031	0.02708529	0.002018147	0.004160471	0.01867474	0.1924678	0.1713986	0.01267385	0.06595397	0.04269878	0.1011955	0.272327	0.112234	0.169909	0.134814	0.091145	0.219571	0.1517105	0.286973	0.212277	0.219731	0.28102	0.611209	0.861339	1.07471	1.45274	2.049955
80	-883.3701	-915.1297	31.75959	8.426798	0.04423285	0.01710469	0.07734568	0.006780013	0.06517774	0.02078448	0.03411098	0.03002427	0.04021701	0.01308842	0.1730991	0.06539449	0.1641483	0.05638073	0.02943903	0.03248223	0.009835424	0.01827941	0.05925703	0.1196227	0.02300424	0.01478332	0.01997184	0.02998908	0.08707512	0.003852592	0.01460532	0.02175693	0.002079192	0.005898199	0.0403955	0.1763009	0.08611775	0.02428421	0.06195771	0.0348748	0.04220262	0.426076	0.107126	0.120596	0.136162	0.0472974	0.162743	0.1056964	0.307047	0.208664	0.208051	0.276238	0.60228	0.85703	1.07568	1.46501	1.765954
90	-880.5807	-913.8755	33.29478	5.609363	0.06862415	0.01551267	0.06709248	0.01912535	0.02887433	0.04227534	0.02031716	0.03682979	0.04754757	0.01563742	0.1805335	0.04135469	0.07688851	0.04673517	0.01181629	0.07800924	0.01816377	0.009602138	0.1141508	0.07724249	0.06633499	0.02311433	0.02851029	0.01614065	0.04371971	0.003356208	0.009566451	0.02123254	0.001182622	0.01298122	0.02546344	0.1470347	0.02364411	0.02281557	0.0477732	0.02857505	0.1322262	0.329198	0.121575	0.178092	0.0472869	0.109418	0.214429	0.1121578	0.294632	0.200227	0.265143	0.239998	0.525574	0.817237	1.08211	1.57508	1.670004
