Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
100	-560.3508	-600.3874	40.03655	6.688519	0.008488701	0.02163689	0.01531046	0.1001174	0.03858753	0.02495516	0.05225047	0.05494638	0.009258123	0.01882225	0.0416197	0.01949884	0.02594883	0.03219948	0.006647606	0.07417905	0.01351511	0.117017	0.1079607	0.01793446	0.02753418	0.0005199344	0.01588892	0.03380132	0.008072476	0.01569736	0.06177435	0.003327587	0.06920236	0.0004639687	0.009017415	0.02694077	0.01633592	0.03465096	0.07494071	0.01999129	0.02958979	0.127339	0.0560436	0.150649	0.0784861	0.277386	0.310097	0.1721642	0.228756	0.285557	0.14569	0.339997	0.559991	0.835731	1.07968	1.5246	1.248643
110	-560.1055	-599.391	39.28541	9.576724	0.007128075	0.03946596	0.03742454	0.08468619	0.05991095	0.02875077	0.04590175	0.0497636	0.02672263	0.01345252	0.09045637	0.03022438	0.01276906	0.04314586	0.009335949	0.04744598	0.0180905	0.05978471	0.06910545	0.03323192	0.02363713	0.003039721	0.02031782	0.01432322	0.0153116	0.02732611	0.04216703	0.006429232	0.1161756	0.0004249225	0.03225599	0.04312066	0.01290149	0.04524787	0.02832195	0.006733838	0.05105872	0.165262	0.129624	0.0969544	0.131682	0.208573	0.267905	0.1197681	0.271708	0.269654	0.137576	0.321061	0.624267	0.867529	1.0732	1.435	1.29559
120	-571.0129	-607.1026	36.08964	5.251137	0.03570009	0.02256899	0.01045878	0.08225612	0.0275852	0.0482896	0.0708759	0.1223105	0.0184668	0.01619987	0.05023981	0.02781761	0.03204917	0.02859912	0.01457349	0.05097108	0.03324118	0.04748653	0.06543724	0.01966651	0.02524348	0.01841209	0.01997694	0.01646363	0.0207858	0.004356992	0.0445773	0.03479269	0.1198301	0.001064435	0.0232706	0.1006191	0.05470229	0.05303097	0.07959407	0.008953162	0.04485862	0.133328	0.139318	0.132868	0.121407	0.204069	0.26901	0.09916261	0.243006	0.235621	0.172365	0.349007	0.512185	0.809739	1.08284	1.59524	1.495326
130	-562.9048	-603.0191	40.11422	1.268544	0.01663635	0.01772568	0.01086002	0.08228979	0.04127841	0.01159895	0.04109773	0.03974081	0.02131632	0.01607083	0.02910122	0.02299036	0.00462211	0.02670695	0.01844328	0.0388174	0.02301069	0.115964	0.09550055	0.01169551	0.008859688	0.02924202	0.01123733	0.006352349	0.03638695	0.008195834	0.02254612	0.01691146	0.1022864	0.001976429	0.01647526	0.06147493	0.01906503	0.05921603	0.03882596	0.003295812	0.1159749	0.210986	0.162885	0.0960793	0.103671	0.238589	0.18779	0.1274543	0.228815	0.221861	0.233582	0.315743	0.187255	0.544874	1.03335	2.23452	1.243789
140	-556.6771	-594.6559	37.97879	3.567706	0.03084246	0.05496951	0.01237141	0.04714356	0.03480954	0.005466375	0.0771709	0.04726247	0.03338482	0.006930425	0.05072599	0.03564286	0.003542694	0.01277781	0.028291	0.03203316	0.06469177	0.09936431	0.174929	0.01782412	0.007524595	0.04025608	0.003691672	0.008732706	0.0228707	0.006484222	0.06067272	0.02044736	0.08838546	0.001808271	0.04455206	0.02630682	0.0405154	0.03435338	0.03554952	0.005264847	0.05966385	0.206035	0.104255	0.239768	0.119766	0.180312	0.149863	0.1126761	0.252577	0.233113	0.199323	0.314986	0.428913	0.758795	1.08418	1.72812	1.377254
150	-554.5818	-594.0457	39.46389	9.129256	0.01115251	0.02294203	0.05303724	0.07448037	0.06023767	0.00627538	0.05589706	0.04295971	0.01496043	0.003498684	0.05341575	0.02560736	0.005032301	0.01827743	0.03267099	0.05602492	0.07188905	0.08616163	0.0618571	0.01992151	0.01880721	0.02751334	0.006250996	0.008166538	0.01701791	0.009848208	0.0437551	0.01920663	0.07012173	0.01024264	0.03340623	0.03590532	0.05885336	0.01010622	0.02774934	0.01099115	0.1001936	0.190377	0.107487	0.197758	0.15795	0.241857	0.104571	0.1188963	0.234055	0.232411	0.198723	0.334811	0.616161	0.863702	1.07415	1.44599	1.284435
160	-557.6823	-599.8748	42.19246	6.784436	0.006067028	0.04120376	0.01349242	0.0702918	0.07331168	0.008788892	0.02885138	0.06865674	0.02055283	0.001777214	0.06560469	0.02111538	0.004853682	0.01481896	0.03015049	0.03170223	0.02098632	0.06428415	0.06555507	0.01588352	0.01107039	0.01668278	0.0327876	0.010277	0.01332483	0.00973933	0.01715434	0.02160831	0.09575482	0.02107605	0.05259913	0.05895228	0.009446947	0.01299061	0.01645603	0.01108018	0.03495023	0.105577	0.0622452	0.0557378	0.345051	0.261599	0.169791	0.1188963	0.245542	0.23367	0.193975	0.326812	0.562693	0.837138	1.07946	1.52071	1.113899
170	-558.5372	-595.3903	36.85305	4.980002	0.00990641	0.0648817	0.008088206	0.09288448	0.02738126	0.0236941	0.03893462	0.0518615	0.07030253	0.002804858	0.07455261	0.01691985	0.006146443	0.03507414	0.03160666	0.05032164	0.06059553	0.1122059	0.1669768	0.02246899	0.008427694	0.01663717	0.01116402	0.01943991	0.06200941	0.02033981	0.01348296	0.02206483	0.1178979	0.03251374	0.01442112	0.02947215	0.03350228	0.02940458	0.01432458	0.008389933	0.02651211	0.155233	0.0619567	0.1983	0.227806	0.25168	0.105024	0.08014433	0.255961	0.269635	0.133725	0.340679	0.501245	0.80348	1.08334	1.61194	1.447612
180	-550.1621	-590.0573	39.89521	4.60147	0.004015159	0.02596939	0.02011387	0.08256971	0.02338582	0.02330689	0.07164448	0.02632674	0.05973332	0.006124749	0.1395841	0.007948184	0.01713243	0.02407823	0.02203386	0.009358444	0.02387551	0.07379548	0.09073049	0.01889457	0.00685077	0.01504949	0.006899597	0.0062914	0.05143275	0.004506561	0.01687975	0.05308411	0.04867812	0.03802442	0.01780522	0.05592104	0.04859371	0.02330513	0.06011273	0.02260921	0.01081228	0.127067	0.0480004	0.16232	0.210848	0.325003	0.126761	0.05926429	0.243887	0.258425	0.173079	0.324609	0.484633	0.793738	1.08392	1.63771	1.257478
190	-553.2677	-590.757	37.48932	2.425068	0.01244847	0.04285569	0.006815478	0.1393606	0.02787575	0.01789093	0.04165268	0.05823669	0.03898669	0.01498114	0.0520407	0.007400192	0.05133618	0.04890129	0.02567168	0.04589377	0.04529693	0.1225196	0.1059337	0.005695771	0.0007338095	0.06172113	0.01632998	0.003384974	0.07288678	0.01246118	0.04497764	0.02944168	0.03613991	0.03156451	0.007833914	0.04049517	0.06079531	0.01396815	0.02354923	0.03050921	0.009259392	0.175814	0.0970308	0.196293	0.177451	0.184086	0.169326	0.03722372	0.2593	0.266646	0.184018	0.290036	0.339235	0.693741	1.07772	1.8893	1.407846
