Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1032.737	-1050.009	17.27167	0.0647151	0.008526059	0.03328153	0.07147529	0.02320619	0.09429305	0.2312811	0.0151922	0.01354207	0.3203144	0.01098845	0.07527749	0.01861512	0.01469178	0.06409861	0.1683397	0.02448141	0.1508532	0.01230931	0.02795073	0.07311422	0.09104317	0.1054787	0.02063446	0.003489392	0.06508548	0.06264178	0.009786739	0.02815202	0.04962138	0.2098247	0.2977637	0.002370684	0.1955272	0.01787526	0.01313602	0.1263827	0.0189299	0.292715	0.0756986	0.103279	0.37806	0.131317	0.779181	0.0453546	0.134143	0.0413219	2.81536
10	-717.9526	-722.2131	4.260413	0.0705321	0.006238658	0.01831808	0.05202382	0.08192051	0.02149487	0.3168877	0.149769	0.03139992	0.2628271	0.01267877	0.3502265	0.02334327	0.04132357	0.06106443	0.1505404	0.04598615	0.6673079	0.01879492	0.09298023	0.07181582	0.03541602	0.1367923	0.07055605	0.002118587	0.03610309	0.009785035	0.01134381	0.0255514	0.02271194	0.1275945	0.133071	0.0005697212	0.2905132	0.03652776	0.07575336	0.06668222	0.0760982	0.0509185	0.0562871	0.238098	0.264843	0.313755	0.441839	0.185289	0.0834529	0.289419	3.628564
20	-656.3961	-667.3153	10.91913	0.02938814	0.02643432	0.01341194	0.13623	0.1193115	0.03977836	0.1165508	0.02888875	0.03220799	0.1247849	0.06395604	0.3692902	0.1079605	0.1514283	0.01017662	0.155733	0.1053247	0.3720925	0.04333938	0.07103941	0.1198555	0.04365593	0.06586487	0.01385132	0.0296222	0.03362041	0.01536752	0.01542605	0.05767057	0.02695567	0.08636756	0.2007131	0.0005485866	0.1963581	0.03940311	0.1001441	0.04964201	0.100691	0.0779745	0.174906	0.12352	0.161594	0.361315	0.236632	0.359135	0.132091	0.272142	3.212394
30	-619.5792	-613.8772	-5.701973	0.07517407	0.0388581	0.007783545	0.180831	0.08117687	0.03938781	0.07180756	0.1880036	0.007668779	0.06274483	0.07669564	0.347605	0.2939011	0.1173232	0.06677306	0.06137383	0.2829793	0.3715497	0.1453763	0.01390892	0.1391155	0.04766631	0.08955766	0.003642363	0.04559192	0.006332099	0.04808491	0.03606701	0.03666448	0.02983645	0.1051448	0.2007131	0.001504393	0.2506489	0.06156062	0.1791436	0.4390168	0.0783911	0.186042	0.156642	0.110621	0.144719	0.323585	0.225142	0.412593	0.127324	0.234941	4.251213
40	-569.382	-570.412	1.030045	0.09479224	0.01577043	0.0116547	0.2477374	0.07468018	0.05343112	0.1589534	0.1478319	0.01562199	0.1081312	0.1702114	0.09453708	0.4032058	0.03941294	0.09705775	0.09251215	0.07209381	0.2451989	0.2866171	0.01518322	0.1987647	0.05106029	0.09213213	0.006092159	0.2046681	0.01382955	0.06489313	0.101995	0.02986134	0.01625698	0.1313887	0.0798281	0.0006974511	0.05960265	0.09256086	0.1185565	0.1236395	0.118497	0.127761	0.204816	0.0812951	0.18443	0.283201	0.26559	0.291704	0.150198	0.292507	3.830462
50	-544.6438	-541.6368	-3.00701	0.05046373	0.01091293	0.06961682	0.221643	0.1241999	0.07886215	0.1532744	0.08267688	0.01306526	0.06343135	0.2081613	0.1392364	0.3681015	0.04727869	0.10923	0.09089426	0.1017012	0.3878633	0.311065	0.05832965	0.1421791	0.0554629	0.1428616	0.006977517	0.1611164	0.008833364	0.09739039	0.1319017	0.03179409	0.01102831	0.08260527	0.05603813	0.0005978674	0.03900136	0.06657471	0.1278098	0.2305976	0.0784916	0.0362818	0.132444	0.21776	0.308321	0.226702	0.26559	0.291704	0.150198	0.292507	4.082778
60	-527.3772	-536.0456	8.668434	0.01015307	0.01619773	0.05333246	0.3545452	0.07443992	0.1110498	0.1293711	0.1298014	0.006172201	0.07830564	0.2239483	0.1726561	0.2357562	0.03179573	0.04551725	0.1074487	0.1427455	0.2096796	0.2012672	0.01274355	0.1242214	0.02489734	0.04082803	0.01208711	0.04165109	0.01121044	0.04628562	0.05393959	0.04238225	0.003545948	0.03925804	0.05967151	0.0005730717	0.02322574	0.03684227	0.07543549	0.3700808	0.13797	0.122625	0.222192	0.109082	0.262155	0.145976	0.256674	0.281911	0.142087	0.319327	3.353062
70	-510.6259	-530.6671	20.0412	0.02014318	0.05001805	0.03172491	0.1604703	0.03111551	0.08302475	0.1150209	0.09545912	0.002087116	0.02884604	0.123769	0.01281286	0.07441112	0.04322622	0.01745613	0.1001456	0.1213524	0.3236132	0.2557026	0.01593712	0.1426802	0.01965905	0.02516909	0.01233365	0.03976476	0.01503317	0.05516716	0.03220563	0.02534904	0.0003255648	0.07745228	0.05246134	0.0006031172	0.04019681	0.04877989	0.143112	0.205636	0.124036	0.118779	0.129253	0.234284	0.239868	0.15378	0.245871	0.27735	0.140231	0.336549	2.642265
80	-514.5118	-533.9813	19.46946	0.009596398	0.05945269	0.01341772	0.2449239	0.05761957	0.05959491	0.09838532	0.04042966	0.0004756095	0.1090806	0.1046715	0.004712221	0.04080838	0.02775134	0.004680307	0.1028982	0.1338491	0.3169148	0.148346	0.03911476	0.1569173	0.002873913	0.04176562	0.02693	0.04116271	0.01293164	0.126052	0.03888424	0.00551408	0.001153903	0.02355972	0.09912067	3.859784e-05	0.009744968	0.04268849	0.1097477	0.32219	0.151785	0.092294	0.194609	0.169915	0.219012	0.172385	0.23022	0.239206	0.201556	0.329018	2.677999
90	-518.1766	-530.9823	12.80567	0.00778602	0.1321779	0.008245567	0.2693463	0.1439833	0.02651485	0.04025536	0.08059193	0.0003758185	0.05908435	0.2348076	0.01028343	0.1869122	0.0160272	0.004396661	0.1159051	0.02607669	0.4221881	0.2882744	0.0277345	0.1295651	0.002215162	0.0142336	0.07682502	0.1323259	0.02017686	0.1984698	0.0145534	0.007007895	0.001983429	0.00775344	0.02712964	3.063203e-05	0.005314832	0.01639053	0.08319954	0.2563431	0.229858	0.0234094	0.245674	0.135665	0.209861	0.155532	0.233398	0.239155	0.189895	0.337551	3.094485
